step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.2292303442955017,-0.3812524676322937,0.10093232989311218,0.9096729755401611,0.0024467248003929853,-0.005629799794405699,0.4152798056602478,0.10073594003915787,-0.0985882356762886,0.10716719925403595,-0.1043376699090004,1.4577754735946655,1.4634191989898682,1.481566071510315,1.4861592054367065,-2.5079238414764404,-2.510415554046631,-2.532454013824463,-2.5346906185150146
1,0.22888192534446716,-0.3819179832935333,0.10221085697412491,0.9096055626869202,0.0035883227828890085,-0.012465394102036953,0.4152703881263733,0.12189512699842453,-0.09530264884233475,0.1184171736240387,-0.10563616454601288,1.4441760778427124,1.4757473468780518,1.5177220106124878,1.5261021852493286,-2.511192798614502,-2.518441677093506,-2.5651602745056152,-2.5705437660217285
2,0.2286866307258606,-0.382519006729126,0.10367341339588165,0.9095290899276733,0.003338644513860345,-0.020096024498343468,0.4151410460472107,0.1549079716205597,-0.08779288083314896,0.1339045763015747,-0.10452423989772797,1.4136693477630615,1.4886338710784912,1.5570147037506104,1.568676233291626,-2.511239528656006,-2.525714874267578,-2.5978305339813232,-2.60321307182312
3,0.22862938046455383,-0.3830749988555908,0.1053435206413269,0.9094549417495728,0.0027912219520658255,-0.028295835480093956,0.4148293137550354,0.18588314950466156,-0.07828166335821152,0.15141089260578156,-0.10331932455301285,1.3746119737625122,1.5014883279800415,1.5992720127105713,1.6185299158096313,-2.510986089706421,-2.53149676322937,-2.630169153213501,-2.633512258529663
4,0.22867655754089355,-0.383590966463089,0.10726119577884674,0.9094229936599731,0.002402764977887273,-0.036846909672021866,0.4142298102378845,0.20962700247764587,-0.06720200926065445,0.17034362256526947,-0.10187547653913498,1.3291935920715332,1.5134060382843018,1.6434869766235352,1.6774053573608398,-2.50724720954895,-2.5346553325653076,-2.6609270572662354,-2.658318042755127
5,0.22881898283958435,-0.3840530216693878,0.10944131761789322,0.9094498157501221,0.0023597620893269777,-0.0455002561211586,0.41331008076667786,0.2231259047985077,-0.055688805878162384,0.1893502026796341,-0.09897426515817642,1.2765485048294067,1.5241472721099854,1.6887952089309692,1.7445212602615356,-2.4996628761291504,-2.5355498790740967,-2.6895220279693604,-2.6821811199188232
6,0.229020893573761,-0.38447141647338867,0.11187383532524109,0.9095255136489868,0.002348072826862335,-0.054215870797634125,0.412090539932251,0.22969591617584229,-0.043776996433734894,0.20925624668598175,-0.09289424121379852,1.2219066619873047,1.5336235761642456,1.7354196310043335,1.819042682647705,-2.4916982650756836,-2.535081148147583,-2.7165706157684326,-2.7050838470458984
7,0.22929778695106506,-0.3848307430744171,0.11463145166635513,0.9096534848213196,0.0022583450190722942,-0.06253933161497116,0.41062673926353455,0.23177339136600494,-0.0312541238963604,0.22568388283252716,-0.07866297662258148,1.1683026552200317,1.5412392616271973,1.779595136642456,1.9016263484954834,-2.482100009918213,-2.5329296588897705,-2.72270131111145,-2.7058348655700684
8,0.22959548234939575,-0.38516244292259216,0.11771510541439056,0.9097972512245178,0.0019196918001398444,-0.07043448090553284,0.409028559923172,0.23077687621116638,-0.017483120784163475,0.22807535529136658,-0.04902280867099762,1.1205761432647705,1.5425493717193604,1.8260455131530762,1.9918529987335205,-2.471665620803833,-2.52264142036438,-2.7226991653442383,-2.6915743350982666
9,0.22984234988689423,-0.38543346524238586,0.12097866088151932,0.9100015163421631,0.0011009068693965673,-0.07824471592903137,0.40715348720550537,0.22684848308563232,-0.003127421485260129,0.2252306491136551,-0.008651639334857464,1.090530514717102,1.524709939956665,1.8742806911468506,2.0843098163604736,-2.446458578109741,-2.4945361614227295,-2.7206408977508545,-2.674598217010498
10,0.23003818094730377,-0.3856194317340851,0.12419150024652481,0.910343587398529,0.0003777863457798958,-0.08496826887130737,0.4050368070602417,0.22727084159851074,-0.015873609110713005,0.22051005065441132,0.0363580659031868,1.0875403881072998,1.469894289970398,1.9206687211990356,2.1712474822998047,-2.4231696128845215,-2.460134983062744,-2.715613842010498,-2.653998613357544
11,0.23025092482566833,-0.38573163747787476,0.12728974223136902,0.9108899235725403,0.0006104575004428625,-0.0900612473487854,0.4027009606361389,0.23373141884803772,-0.062371768057346344,0.20836767554283142,0.07896843552589417,1.0928549766540527,1.378193736076355,1.9685591459274292,2.2421720027923584,-2.398804187774658,-2.4240636825561523,-2.7099618911743164,-2.634887933731079
12,0.2305534929037094,-0.38579264283180237,0.13030299544334412,0.911560595035553,0.0018356876680627465,-0.09383347630500793,0.4003116190433502,0.23911471664905548,-0.12405005842447281,0.19194413721561432,0.11149860918521881,1.1042560338974,1.277988076210022,2.019014835357666,2.2981116771698,-2.3749775886535645,-2.3871750831604004,-2.700256109237671,-2.6238315105438232
13,0.23097440600395203,-0.3857818841934204,0.13330641388893127,0.912264883518219,0.003710059681907296,-0.09679923206567764,0.3979812264442444,0.24280785024166107,-0.18932677805423737,0.17431142926216125,0.13559961318969727,1.1179741621017456,1.1802269220352173,2.0714800357818604,2.341416120529175,-2.3519961833953857,-2.3345165252685547,-2.6832797527313232,-2.610297679901123
14,0.23151081800460815,-0.38570472598075867,0.13635706901550293,0.9129512906074524,0.006126862950623035,-0.09929291903972626,0.3957565426826477,0.24365629255771637,-0.25006595253944397,0.1546778529882431,0.15431629121303558,1.1307793855667114,1.0868923664093018,2.125143527984619,2.3717105388641357,-2.32944655418396,-2.267199993133545,-2.659341335296631,-2.589101552963257
15,0.23212064802646637,-0.3855985999107361,0.13949401676654816,0.9136004447937012,0.008439387194812298,-0.101796455681324,0.39357417821884155,0.24280418455600739,-0.2963629364967346,0.13496346771717072,0.17073312401771545,1.141291618347168,0.9980230927467346,2.1757116317749023,2.3935325145721436,-2.3072731494903564,-2.1922214031219482,-2.632026433944702,-2.5670933723449707
16,0.23279133439064026,-0.38546618819236755,0.1427328735589981,0.9142044186592102,0.010060658678412437,-0.10456102341413498,0.39140287041664124,0.24201355874538422,-0.32347628474235535,0.12052495032548904,0.1849658340215683,1.1499707698822021,0.9115096926689148,2.21572208404541,2.4101624488830566,-2.2853832244873047,-2.114259958267212,-2.6099815368652344,-2.547501802444458
17,0.23355437815189362,-0.38527631759643555,0.14608410000801086,0.9147719144821167,0.010998854413628578,-0.10743393003940582,0.3892676532268524,0.2408151626586914,-0.3329097330570221,0.11412370204925537,0.1965041309595108,1.1591819524765015,0.8255676627159119,2.2437169551849365,2.418975591659546,-2.2644524574279785,-2.036320209503174,-2.595085620880127,-2.52695894241333
18,0.23446069657802582,-0.3849877417087555,0.14953550696372986,0.9153359532356262,0.011282168328762054,-0.1104581281542778,0.387081116437912,0.2391994297504425,-0.3262747824192047,0.1168917715549469,0.20335212349891663,1.1710810661315918,0.7406917810440063,2.2561399936676025,2.419318199157715,-2.2450127601623535,-1.9578227996826172,-2.564100980758667,-2.5063657760620117
19,0.2355065494775772,-0.3846808671951294,0.1530809998512268,0.9157606959342957,0.010991792194545269,-0.11369304358959198,0.385143518447876,0.23672133684158325,-0.3032602071762085,0.12147019803524017,0.20428545773029327,1.1850230693817139,0.6611973643302917,2.26080584526062,2.411531686782837,-2.2268500328063965,-1.8793237209320068,-2.535104751586914,-2.4940273761749268
20,0.2367808073759079,-0.38433223962783813,0.156708762049675,0.915975034236908,0.010754122398793697,-0.11669706553220749,0.3837395906448364,0.23415707051753998,-0.2705671489238739,0.12718938291072845,0.1986287385225296,1.197556972503662,0.5998296737670898,2.2611401081085205,2.390488862991333,-2.2081217765808105,-1.8188380002975464,-2.5183780193328857,-2.473890542984009
21,0.23817016184329987,-0.3839329183101654,0.16048547625541687,0.9163342714309692,0.009921560995280743,-0.11925108730792999,0.3821156919002533,0.23245002329349518,-0.23237863183021545,0.12997248768806458,0.1979362815618515,1.210072636604309,0.5626335740089417,2.256007194519043,2.376358985900879,-2.1897826194763184,-1.7990845441818237,-2.5029969215393066,-2.460193634033203
22,0.23975038528442383,-0.38340920209884644,0.16438168287277222,0.9167094826698303,0.009009694680571556,-0.12162177264690399,0.3804877698421478,0.22730158269405365,-0.18962283432483673,0.13180489838123322,0.19640611112117767,1.2269331216812134,0.5472564101219177,2.2447571754455566,2.3562073707580566,-2.1735455989837646,-1.7942484617233276,-2.4848148822784424,-2.4431819915771484
23,0.24145127832889557,-0.38279515504837036,0.16838158667087555,0.9171336889266968,0.007994328625500202,-0.12377234548330307,0.3787904679775238,0.21735993027687073,-0.14702272415161133,0.13320045173168182,0.1947774887084961,1.2469310760498047,0.5500575304031372,2.2353742122650146,2.335801124572754,-2.159773588180542,-1.8000236749649048,-2.466567277908325,-2.4253265857696533
