step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.22911828756332397,-0.3813103139400482,0.10088419914245605,0.9095959663391113,0.0032698160503059626,-0.005479250568896532,0.41544511914253235,0.10129795223474503,-0.1027250662446022,0.10578549653291702,-0.10554064065217972,1.4525024890899658,1.4598969221115112,1.480994462966919,1.4850794076919556,-2.507445812225342,-2.5068857669830322,-2.532902956008911,-2.533595561981201
1,0.2285871058702469,-0.38214409351348877,0.10177099704742432,0.9094501733779907,0.006372072733938694,-0.011680091731250286,0.41560015082359314,0.1477375328540802,-0.119424968957901,0.11543656885623932,-0.11157073825597763,1.4149142503738403,1.4584364891052246,1.5183732509613037,1.5274524688720703,-2.4996209144592285,-2.5095221996307373,-2.5654687881469727,-2.5697555541992188
2,0.22810086607933044,-0.3829909563064575,0.1025116965174675,0.9091727137565613,0.009950119070708752,-0.018592510372400284,0.4158848524093628,0.2137460857629776,-0.14375320076942444,0.13397438824176788,-0.1245172843337059,1.3529998064041138,1.4459415674209595,1.5611939430236816,1.581890344619751,-2.4785006046295166,-2.509150266647339,-2.5944125652313232,-2.601945161819458
3,0.22761847078800201,-0.3838706314563751,0.1031711995601654,0.9087669253349304,0.01439508143812418,-0.02646719478070736,0.4162151515483856,0.27470192313194275,-0.1726875603199005,0.16625326871871948,-0.14715972542762756,1.284564733505249,1.4223332405090332,1.6095473766326904,1.64801824092865,-2.450007200241089,-2.5059146881103516,-2.615426778793335,-2.6298890113830566
4,0.22711068391799927,-0.38480764627456665,0.10376084595918655,0.9082262516021729,0.019540248438715935,-0.03502518683671951,0.41655322909355164,0.3288498520851135,-0.20761162042617798,0.21103397011756897,-0.1797773838043213,1.2090907096862793,1.38381826877594,1.6614512205123901,1.7240451574325562,-2.409367322921753,-2.4918930530548096,-2.6285400390625,-2.6510002613067627
5,0.22655367851257324,-0.3857782781124115,0.1043122410774231,0.9075646996498108,0.025040335953235626,-0.04399651288986206,0.4168497323989868,0.36813223361968994,-0.24372659623622894,0.2652842402458191,-0.21696452796459198,1.1339483261108398,1.3299144506454468,1.7156296968460083,1.807617425918579,-2.365110397338867,-2.4716885089874268,-2.6349472999572754,-2.668426513671875
6,0.2259131520986557,-0.38681545853614807,0.10485972464084625,0.9068186283111572,0.030262552201747894,-0.05311409756541252,0.4170647859573364,0.40354278683662415,-0.28384384512901306,0.3246039152145386,-0.24993978440761566,1.0519696474075317,1.2589517831802368,1.7709509134292603,1.8976130485534668,-2.31740403175354,-2.4442977905273438,-2.6367006301879883,-2.6856281757354736
7,0.22518862783908844,-0.3879091739654541,0.10542931407690048,0.9060206413269043,0.034940578043460846,-0.062394894659519196,0.4171481132507324,0.4334695637226105,-0.3185197114944458,0.3871665298938751,-0.27748438715934753,0.9669650197029114,1.1818538904190063,1.8281383514404297,1.9927022457122803,-2.2650394439697266,-2.4113831520080566,-2.635385751724243,-2.699821710586548
8,0.2243608832359314,-0.389043390750885,0.10602670162916183,0.9052411913871765,0.03893112763762474,-0.07178821414709091,0.41697630286216736,0.45798391103744507,-0.34471556544303894,0.4505167305469513,-0.2948373556137085,0.8799545764923096,1.1021645069122314,1.8893988132476807,2.0942928791046143,-2.206974983215332,-2.3754971027374268,-2.60984206199646,-2.685728073120117
9,0.22343206405639648,-0.3902347981929779,0.10662675648927689,0.9044609665870667,0.042798224836587906,-0.08091805130243301,0.41661858558654785,0.47368481755256653,-0.3662325441837311,0.5063106417655945,-0.30459296703338623,0.7894254922866821,1.0163170099258423,1.9557714462280273,2.1967105865478516,-2.1305737495422363,-2.320204973220825,-2.5689220428466797,-2.662053346633911
