step,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11
0,10.691916465759277,-9.447554588317871,6.968681335449219,-9.373821258544922,-5.336753845214844,-11.662705421447754,13.635721206665039,13.64693832397461,6.366325378417969,11.022340774536133,13.022976875305176,13.076452255249023,0.829352617263794,-1.1283917427062988,2.062061309814453,-2.5880532264709473,2.0148048400878906,0.8086369037628174,7.55358362197876,7.166921615600586,-2.0749337673187256,-1.5704423189163208,-6.022762298583984,-5.398541450500488,4.663262844085693,-3.8108277320861816,2.5457351207733154,-3.766505241394043,-1.8720084428787231,-5.541391849517822,9.611475944519043,9.669904708862305,2.2870118618011475,4.9340314865112305,7.581523895263672,7.705825328826904
1,11.379229545593262,-12.596135139465332,5.905335426330566,-7.975224494934082,-14.918647766113281,-11.635075569152832,13.04669189453125,11.785795211791992,5.162117004394531,5.5204243659973145,21.336700439453125,19.651004791259766,9.771711349487305,-11.529828071594238,3.926957368850708,-6.5474724769592285,-6.222920894622803,-6.2689690589904785,9.274735450744629,8.948861122131348,1.549666404724121,2.0826501846313477,-4.029667854309082,-3.1705222129821777,2.7514326572418213,-3.72723388671875,1.2101069688796997,-1.7331509590148926,-5.744029998779297,-2.413870096206665,5.878037929534912,4.1692609786987305,0.7161264419555664,0.2371583878993988,5.092620849609375,4.338028430938721
2,8.100127220153809,-8.070588111877441,3.6990737915039062,-7.493014335632324,-13.6954927444458,-10.055595397949219,13.102025985717773,12.526135444641113,11.763733863830566,7.798574447631836,18.021324157714844,20.323572158813477,16.871095657348633,-18.4362735748291,5.335250377655029,-11.819703102111816,-12.919149398803711,-11.099747657775879,12.390771865844727,11.599428176879883,5.964055061340332,5.732555389404297,-1.8134527206420898,-0.3690927028656006,2.70019793510437,-2.9504687786102295,0.575599730014801,-2.170865535736084,-5.550988674163818,-3.108826160430908,5.886059284210205,5.5156707763671875,4.811692237854004,2.408724784851074,3.249110221862793,5.235414981842041
3,4.907173156738281,-4.679267406463623,1.912000298500061,-5.7380290031433105,-10.85091781616211,-8.96035385131836,11.904679298400879,12.018147468566895,12.1476469039917,9.932220458984375,15.108778953552246,18.61363410949707,19.309114456176758,-21.909576416015625,6.163488388061523,-17.086790084838867,-15.227754592895508,-13.121474266052246,16.182966232299805,14.43815803527832,10.889008522033691,9.734560012817383,-1.0479196310043335,3.2726898193359375,2.287656545639038,-2.490607976913452,0.20756344497203827,-1.9823155403137207,-6.051116943359375,-3.61491322517395,6.866070747375488,6.4882330894470215,6.154657363891602,4.459026336669922,2.953742742538452,5.142360687255859
4,3.2328813076019287,-3.0306150913238525,1.5213148593902588,-3.397754192352295,-9.725984573364258,-8.233633041381836,9.477028846740723,10.419166564941406,8.831704139709473,8.85947036743164,13.322222709655762,15.241657257080078,18.610763549804688,-23.485401153564453,7.691378593444824,-20.38788414001465,-16.254507064819336,-14.946789741516113,19.160367965698242,16.451580047607422,15.700017929077148,15.70128345489502,1.2457600831985474,7.508130073547363,1.5734666585922241,-2.2623815536499023,0.32835865020751953,-1.3999388217926025,-6.020901679992676,-3.5045251846313477,6.459362030029297,6.179067611694336,6.443972587585449,5.520145893096924,2.612260580062866,4.8311591148376465
5,2.6349194049835205,-2.0889663696289062,1.116658329963684,-1.9922876358032227,-8.848492622375488,-7.063386917114258,7.315690040588379,8.999750137329102,4.425489902496338,4.193089485168457,10.792072296142578,11.28617000579834,16.493709564208984,-20.237194061279297,8.945405006408691,-20.698110580444336,-16.07242774963379,-14.09582805633545,20.433889389038086,16.72794532775879,15.700006484985352,15.699881553649902,3.8857994079589844,11.631957054138184,1.1193493604660034,-1.7617563009262085,0.24512700736522675,-1.0263044834136963,-5.241140365600586,-3.1205263137817383,5.838651657104492,5.732949733734131,6.770008087158203,6.427404880523682,2.318716526031494,4.707028865814209
6,1.5222209692001343,-2.1361002922058105,0.8538292050361633,-1.5073434114456177,-8.63902473449707,-6.8925251960754395,6.327643394470215,8.794947624206543,4.511674404144287,4.437185764312744,9.918036460876465,7.644855976104736,14.548635482788086,-18.46925926208496,9.369847297668457,-18.89383888244629,-16.4967041015625,-14.325549125671387,20.076414108276367,16.845605850219727,15.700002670288086,15.699488639831543,6.9481682777404785,15.458747863769531,0.20220640301704407,-0.9170393943786621,0.20509852468967438,-0.7927393317222595,-4.783910274505615,-2.717467784881592,5.530707836151123,5.755344390869141,6.750815391540527,6.889333248138428,2.878683090209961,4.8900604248046875
7,0.3586142957210541,-1.0653542280197144,0.4025859534740448,-1.5319609642028809,-8.135902404785156,-6.371521472930908,6.532535552978516,8.726161003112793,4.525169372558594,4.562933921813965,8.93612003326416,4.217111110687256,12.280248641967773,-17.058696746826172,8.119086265563965,-16.508249282836914,-17.01252555847168,-14.715666770935059,19.987001419067383,17.3587703704834,15.700005531311035,15.699264526367188,14.166093826293945,15.70002269744873,-0.2177838683128357,-0.04982295632362366,0.032867178320884705,-0.7341077923774719,-4.582308769226074,-2.5474371910095215,5.6187615394592285,5.801092147827148,6.596889495849609,7.124546527862549,3.410865068435669,4.9848952293396
8,-0.9545562863349915,1.3070179224014282,-0.7329385876655579,-1.7165247201919556,-7.762356758117676,-5.9817023277282715,6.670006275177002,8.367713928222656,4.5192437171936035,4.613531112670898,4.3778276443481445,4.035947799682617,9.562317848205566,-14.953057289123535,5.364138126373291,-14.977232933044434,-17.423431396484375,-14.790640830993652,19.99117660522461,17.836395263671875,15.700000762939453,15.7000093460083,15.678958892822266,15.699854850769043,-0.31902340054512024,0.6497995853424072,-0.27065110206604004,-0.7241517901420593,-4.631951332092285,-2.4894375801086426,5.9289231300354,5.736473083496094,6.517413139343262,7.126465797424316,3.79120135307312,5.084981918334961
9,-3.004216194152832,6.004521369934082,-2.1169064044952393,-1.6912404298782349,-7.487817764282227,-5.984726905822754,6.766753196716309,7.973924160003662,4.533833026885986,4.610349178314209,3.5652854442596436,4.062545299530029,6.749444961547852,-11.35295581817627,2.594012975692749,-13.712111473083496,-17.808069229125977,-14.73514461517334,20.402578353881836,18.22954750061035,15.700007438659668,15.700003623962402,15.699995994567871,15.69974422454834,-0.6741642951965332,1.2549774646759033,-0.5241010189056396,-0.6187682747840881,-4.621596336364746,-2.597459077835083,6.1853718757629395,5.542917251586914,6.637360572814941,6.936916828155518,4.400805473327637,5.129399299621582
10,-3.2459919452667236,6.227110385894775,-2.927800178527832,-1.4710155725479126,-7.351246356964111,-6.380720138549805,6.546920299530029,7.647100448608398,4.550824165344238,4.540805816650391,3.754136800765991,4.067383289337158,4.198344707489014,-8.469611167907715,0.031262509524822235,-12.865257263183594,-18.3856201171875,-15.253609657287598,20.615808486938477,18.503881454467773,15.700003623962402,15.700007438659668,15.70000171661377,15.699657440185547,-0.5827950239181519,0.9865744113922119,-0.6633079648017883,-0.45318758487701416,-4.822381496429443,-2.9247169494628906,6.258129596710205,5.437322616577148,6.719415664672852,6.432216644287109,4.687919616699219,5.104939937591553
11,-3.2330639362335205,6.25543212890625,-2.7715542316436768,-1.0494558811187744,-7.015902042388916,-6.388610363006592,6.384056568145752,7.322836875915527,4.561384677886963,4.460916519165039,3.8854448795318604,4.0670952796936035,2.0838983058929443,-5.802552223205566,-1.6704578399658203,-12.000956535339355,-18.908849716186523,-15.877320289611816,20.513486862182617,18.680843353271484,15.700000762939453,15.700003623962402,15.700006484985352,15.699604034423828,-0.5954103469848633,1.0410723686218262,-0.5662158727645874,-0.25094038248062134,-4.770847320556641,-3.0018324851989746,6.08725118637085,5.137236595153809,6.747626304626465,6.104176044464111,4.870974063873291,5.0955281257629395
12,-2.8977160453796387,6.304541110992432,-2.33358097076416,-0.5872044563293457,-6.653196334838867,-6.184892177581787,6.3944411277771,7.012271404266357,4.568193435668945,4.387431621551514,3.980379819869995,4.0585246086120605,0.5067833662033081,-3.125171184539795,-2.4762470722198486,-10.966474533081055,-19.300012588500977,-16.369461059570312,20.28502082824707,18.776779174804688,15.700010299682617,15.699999809265137,15.699995040893555,15.699573516845703,-0.5272552967071533,1.1323771476745605,-0.45583248138427734,-0.0811496302485466,-4.6568145751953125,-2.980313301086426,5.889546871185303,4.814969062805176,6.767193794250488,5.868162631988525,5.039089202880859,5.060525417327881
