step,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11
0,7.265851974487305,-7.390752792358398,14.746211051940918,-11.999144554138184,-7.701290130615234,-7.2922821044921875,14.197006225585938,14.000435829162598,6.669453144073486,6.79295015335083,21.337495803833008,21.862167358398438,5.047770977020264,-4.017834663391113,13.617488861083984,-8.903544425964355,-0.2853260934352875,-0.11241128295660019,9.770195007324219,11.071087837219238,-0.019216153770685196,0.31786760687828064,-0.3603667914867401,-2.1607871055603027,3.664243221282959,-5.029709815979004,6.576056957244873,-3.874802350997925,-3.008075475692749,-2.5125701427459717,8.388272285461426,8.98220443725586,2.072728395462036,2.2097008228302,6.43086051940918,6.281699180603027
1,5.286790370941162,-5.763502597808838,4.319622993469238,-3.2033090591430664,-7.550532341003418,-6.070711612701416,10.210431098937988,8.446441650390625,7.156373500823975,6.481044292449951,15.074261665344238,13.921645164489746,14.637971878051758,-12.36821460723877,20.84317398071289,-14.08066463470459,-7.652744293212891,-6.437224388122559,13.625799179077148,15.245975494384766,4.6348042488098145,4.722862720489502,7.259067535400391,2.7717127799987793,2.6812493801116943,-2.516035318374634,2.0446746349334717,-0.7400944232940674,-5.172664642333984,-1.7841815948486328,4.271248817443848,3.4385454654693604,2.8156845569610596,2.13554048538208,4.833852767944336,3.05068039894104
2,2.4450619220733643,-3.392779588699341,2.5829126834869385,2.362156867980957,-5.4134907722473145,-4.794317722320557,9.895143508911133,5.755646228790283,4.087219715118408,4.226521015167236,8.088913917541504,9.43243408203125,20.98093605041504,-18.08740234375,20.291278839111328,-11.471302032470703,-13.217754364013672,-12.62509822845459,14.343690872192383,16.75895881652832,13.176775932312012,13.354554176330566,14.77199935913086,6.132908821105957,1.645546555519104,-2.23006272315979,1.8087353706359863,0.5856884717941284,-6.178565502166748,-2.1948959827423096,5.219085216522217,2.588390350341797,3.935793161392212,3.537288188934326,5.024087905883789,2.7139806747436523
3,-1.3752158880233765,-2.213815212249756,3.164093494415283,3.668522834777832,-5.142630577087402,-4.703564643859863,9.828577995300293,4.735207557678223,2.100313425064087,1.957259178161621,4.162447452545166,8.715579986572266,18.248807907104492,-14.494656562805176,17.832773208618164,-5.493110656738281,-12.680593490600586,-13.074779510498047,16.146469116210938,18.344532012939453,15.700072288513184,15.699626922607422,15.698984146118164,12.811124801635742,-0.4634358286857605,-0.9425082802772522,1.7686080932617188,0.6194376945495605,-7.960877895355225,-2.8443539142608643,5.9034247398376465,2.4169256687164307,4.691024303436279,4.899523735046387,5.401679039001465,3.2524263858795166
4,-6.886483192443848,-0.8323212265968323,2.438636302947998,3.326176166534424,-5.445778846740723,-4.663867950439453,8.785157203674316,4.4791975021362305,2.5193912982940674,1.982143759727478,4.233008861541748,3.4538137912750244,10.200373649597168,-12.63029956817627,14.536452293395996,-0.6367976069450378,-12.664237976074219,-14.07397747039795,17.42728614807129,19.099388122558594,15.70002269744873,15.689855575561523,15.692164421081543,15.66385555267334,-1.2404204607009888,-0.1740393042564392,0.9302891492843628,0.6206597089767456,-8.388262748718262,-3.0675747394561768,5.9835100173950195,2.733905792236328,5.047989845275879,5.685858249664307,5.585009574890137,3.997922420501709
5,-4.5951104164123535,3.2631943225860596,1.020193338394165,1.1240257024765015,-5.068641185760498,-4.449436187744141,8.090476989746094,4.696426868438721,1.9783542156219482,1.9883942604064941,4.200540065765381,3.79364275932312,4.82994270324707,-9.006686210632324,9.166285514831543,0.27018028497695923,-14.345995903015137,-14.64342975616455,18.9949893951416,18.285282135009766,15.700265884399414,15.670233726501465,15.452507972717285,15.72232437133789,-0.7429795861244202,0.6582863926887512,0.23086127638816833,0.15558314323425293,-8.276851654052734,-3.0245938301086426,5.948587894439697,2.7805604934692383,5.089400768280029,6.2043137550354,5.415349006652832,4.5568695068359375
6,-4.168208599090576,3.526862621307373,-1.7500313520431519,3.017683982849121,-3.9310741424560547,-4.595383644104004,9.228071212768555,6.414034366607666,1.97823965549469,2.1308178901672363,4.126199722290039,3.927419900894165,-0.14317218959331512,-7.900078773498535,-1.6189801692962646,-0.6086781024932861,-17.12138557434082,-15.189408302307129,17.15419578552246,15.682783126831055,15.700210571289062,15.703733444213867,15.511999130249023,15.586387634277344,-0.8497185707092285,0.5789678692817688,-0.4872696101665497,0.6385015845298767,-8.471662521362305,-3.3544814586639404,5.8037428855896,2.8940417766571045,5.052392482757568,6.788230895996094,5.209316730499268,4.702042579650879
7,-3.412513017654419,1.8703960180282593,1.4131839275360107,2.9231395721435547,-3.9349820613861084,-4.130831241607666,8.868979454040527,7.01206111907959,1.980584740638733,2.011014223098755,4.2107391357421875,4.033576965332031,-3.187934398651123,-6.019412040710449,-1.0709900856018066,1.5961300134658813,-17.236289978027344,-16.770166397094727,17.834848403930664,16.552242279052734,15.700236320495605,15.648675918579102,15.695345878601074,15.696707725524902,-0.7515662312507629,0.2591387629508972,0.3868905007839203,0.6064212918281555,-8.925819396972656,-3.840963363647461,7.582713603973389,3.801945924758911,5.231873989105225,6.670618057250977,5.513380527496338,5.091893196105957
8,-0.7831805944442749,5.712353706359863,-4.003879547119141,0.03753488510847092,-3.895984649658203,-3.7646470069885254,8.384578704833984,7.461770057678223,1.9779291152954102,2.020036220550537,3.9980015754699707,4.023314476013184,-5.784826755523682,-3.199907064437866,-3.4100234508514404,0.201819509267807,-17.370691299438477,-17.23297882080078,18.427160263061523,16.703022003173828,15.700010299682617,15.642147064208984,15.697869300842285,15.699400901794434,-0.08209092915058136,1.3044100999832153,-1.0976881980895996,-0.1045803502202034,-8.559996604919434,-3.2637178897857666,6.9456353187561035,4.293112277984619,5.000077247619629,6.653173923492432,4.828915596008301,4.986279487609863
9,1.6278659105300903,2.465803384780884,-7.1863837242126465,-2.7490017414093018,-3.9671220779418945,-3.3770809173583984,8.827699661254883,8.793493270874023,2.3305747509002686,2.0726094245910645,3.837296485900879,4.235954761505127,-4.098751068115234,1.490664005279541,-3.001929759979248,0.8096421360969543,-17.670490264892578,-17.367530822753906,17.982053756713867,15.730525016784668,15.664548873901367,15.700006484985352,15.692095756530762,15.700002670288086,0.38651537895202637,0.42153435945510864,-1.724585771560669,-0.6153655648231506,-7.472603797912598,-2.221266746520996,7.154030799865723,4.894059658050537,5.094740390777588,6.691153526306152,4.509913444519043,4.995665073394775
