step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.22878824174404144,-0.38166531920433044,0.10130298882722855,0.9097941517829895,0.006619018968194723,-0.013032512739300728,0.4148022532463074,0.1218986064195633,-0.12595848739147186,0.13113734126091003,-0.15370698273181915,1.4595342874526978,1.4549616575241089,1.544071912765503,1.5426442623138428,-2.50630784034729,-2.5069735050201416,-2.5649874210357666,-2.5545542240142822
1,0.22833377122879028,-0.3824220299720764,0.10136277228593826,0.9095762372016907,0.017202802002429962,-0.02682291530072689,0.41431355476379395,0.2330465167760849,-0.2444033920764923,0.2210705578327179,-0.3000836968421936,1.397887945175171,1.3903791904449463,1.6890833377838135,1.6819356679916382,-2.4681708812713623,-2.4793660640716553,-2.585026264190674,-2.5513083934783936
2,0.22822728753089905,-0.38303548097610474,0.10047376900911331,0.9088148474693298,0.02922595664858818,-0.03925778716802597,0.4143190085887909,0.40739789605140686,-0.4357373118400574,0.34121838212013245,-0.4949037432670593,1.2725310325622559,1.2611583471298218,1.8743776082992554,1.843396544456482,-2.3508355617523193,-2.3755173683166504,-2.546891927719116,-2.463442325592041
3,0.2282821387052536,-0.3836047351360321,0.09947185218334198,0.9075367450714111,0.042807914316654205,-0.04866819828748703,0.41494107246398926,0.5620597004890442,-0.633800745010376,0.43850505352020264,-0.6673600077629089,1.1384598016738892,1.1250139474868774,2.068359613418579,2.012697458267212,-2.193833827972412,-2.2206125259399414,-2.447204351425171,-2.310912847518921
4,0.2284257560968399,-0.3845579922199249,0.09837844967842102,0.9052184820175171,0.06237093731760979,-0.05460774153470993,0.41678211092948914,0.6576626896858215,-0.8111324906349182,0.4568426012992859,-0.8174947500228882,0.9991216063499451,0.9923098683357239,2.270566701889038,2.1922314167022705,-2.0368311405181885,-2.0635616779327393,-2.2914223670959473,-2.1539406776428223
5,0.22846008837223053,-0.3860112428665161,0.09720930457115173,0.9015378355979919,0.08414562046527863,-0.06084560602903366,0.42005571722984314,0.6967602968215942,-0.9271045327186584,0.42552900314331055,-0.9479448199272156,0.8505905270576477,0.8599803447723389,2.47541880607605,2.3777740001678467,-1.8798285722732544,-1.9064953327178955,-2.134427547454834,-1.9969671964645386
6,0.22723375260829926,-0.38785600662231445,0.09776324033737183,0.8997412323951721,0.09099944680929184,-0.06720472127199173,0.4215072989463806,0.7382672429084778,-0.9604882597923279,0.39516153931617737,-1.0099353790283203,0.6868563294410706,0.7044596672058105,2.660045623779297,2.5459096431732178,-1.7239270210266113,-1.7498304843902588,-1.9774264097213745,-1.840000867843628
7,0.22529621422290802,-0.3897712230682373,0.09927568584680557,0.8995089530944824,0.08806999027729034,-0.07489839941263199,0.42132824659347534,0.7694205641746521,-0.9470923542976379,0.3786880373954773,-1.0159566402435303,0.5153418183326721,0.5328182578086853,2.8410122394561768,2.7184104919433594,-1.5673242807388306,-1.5927352905273438,-1.8203848600387573,-1.6829982995986938
8,0.22287265956401825,-0.3917362689971924,0.10026881843805313,0.9001561403274536,0.0764082744717598,-0.08776180446147919,0.4197365641593933,0.8051450252532959,-0.8866438865661621,0.4020683467388153,-0.9822757840156555,0.33931952714920044,0.35559844970703125,3.0247678756713867,2.897597551345825,-1.4106245040893555,-1.4356635808944702,-1.6633044481277466,-1.5259332656860352
9,0.21979038417339325,-0.3937437832355499,0.10034167766571045,0.9017817378044128,0.052843302488327026,-0.10714299976825714,0.41535234451293945,0.8622336387634277,-0.7737444639205933,0.4820120334625244,-0.9061610698699951,0.1624635010957718,0.1766100376844406,3.2106034755706787,3.0795326232910156,-1.2536475658416748,-1.2786169052124023,-1.5062183141708374,-1.3688576221466064
