step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.22910557687282562,-0.3811967372894287,0.10080747306346893,0.9097397327423096,0.0019589026924222708,-0.006380133330821991,0.4151252210140228,0.10377837717533112,-0.10255162417888641,0.11045313626527786,-0.11143343895673752,1.460250973701477,1.4531035423278809,1.4888803958892822,1.4884122610092163,-2.506911039352417,-2.5066123008728027,-2.536036252975464,-2.5327861309051514
1,0.22861984372138977,-0.3817300796508789,0.10135229676961899,0.9097674489021301,0.005307692103087902,-0.012139003723859787,0.4149070382118225,0.15230250358581543,-0.15845346450805664,0.12860983610153198,-0.14100821316242218,1.4283472299575806,1.4212379455566406,1.5378893613815308,1.5358508825302124,-2.4986486434936523,-2.4958667755126953,-2.5649001598358154,-2.5578665733337402
2,0.22821873426437378,-0.3821796178817749,0.10149705410003662,0.9097538590431213,0.010282414965331554,-0.01707247644662857,0.4146694839000702,0.23974324762821198,-0.25370851159095764,0.15204639732837677,-0.19607242941856384,1.360382080078125,1.3625367879867554,1.6000630855560303,1.5949627161026,-2.4678759574890137,-2.4661705493927,-2.585874557495117,-2.5696470737457275
3,0.22789451479911804,-0.38259387016296387,0.10137780010700226,0.9096085429191589,0.017027659341692924,-0.02213348262012005,0.41452696919441223,0.34025928378105164,-0.3672451078891754,0.1816687136888504,-0.27870655059814453,1.2804633378982544,1.2931761741638184,1.68061101436615,1.6683918237686157,-2.41176700592041,-2.4156641960144043,-2.5978353023529053,-2.5636909008026123
4,0.22765494883060455,-0.38298794627189636,0.10109294950962067,0.9092207551002502,0.024512574076652527,-0.02753436379134655,0.4146788716316223,0.43637314438819885,-0.4846440553665161,0.2199213206768036,-0.38010162115097046,1.1980036497116089,1.2188478708267212,1.7762601375579834,1.7507622241973877,-2.3336246013641357,-2.337660312652588,-2.5975112915039062,-2.5316290855407715
5,0.22747717797756195,-0.3833693265914917,0.10076000541448593,0.9086122512817383,0.03152908384799957,-0.03300619125366211,0.41513898968696594,0.5200812220573425,-0.5871085524559021,0.2646440863609314,-0.48345330357551575,1.117017149925232,1.14773690700531,1.8782175779342651,1.8343173265457153,-2.255122184753418,-2.259133815765381,-2.5833580493927,-2.4765241146087646
6,0.22731511294841766,-0.38375160098075867,0.10041666775941849,0.9078431129455566,0.03832200914621353,-0.03804262727499008,0.41581857204437256,0.5934794545173645,-0.6803910136222839,0.31172725558280945,-0.5782159566879272,1.0341765880584717,1.0756452083587646,1.978415846824646,1.918654441833496,-2.176619529724121,-2.1805973052978516,-2.554076910018921,-2.40010142326355
7,0.22713984549045563,-0.38416415452957153,0.10005359351634979,0.9069547057151794,0.04537288844585419,-0.042560677975416183,0.4166090190410614,0.6550573110580444,-0.7658489346504211,0.35465869307518005,-0.6605556607246399,0.9491395950317383,1.0018917322158813,2.0782833099365234,2.005446434020996,-2.0981175899505615,-2.10204815864563,-2.500821590423584,-2.3216025829315186
8,0.22696536779403687,-0.3846646547317505,0.09967365860939026,0.9058322310447693,0.05304994806647301,-0.04670143127441406,0.41769927740097046,0.7028697729110718,-0.8406237959861755,0.3814795911312103,-0.7354435920715332,0.8620218634605408,0.9279279708862305,2.178239107131958,2.0946264266967773,-2.0196151733398438,-2.023488998413086,-2.42242693901062,-2.2430877685546875
9,0.2267564833164215,-0.38527482748031616,0.09930256754159927,0.9044337272644043,0.06087426468729973,-0.05100511386990547,0.41915687918663025,0.7366178631782532,-0.8973986506462097,0.3944514989852905,-0.8040062189102173,0.7729811668395996,0.8542398810386658,2.280249834060669,2.185770273208618,-1.9411123991012573,-1.9449223279953003,-2.3439085483551025,-2.1645641326904297
