step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.2290542870759964,-0.3809767961502075,0.10079003125429153,0.9097079634666443,0.0029387562535703182,-0.005737737286835909,0.41519877314567566,0.10016224533319473,-0.09882114082574844,0.10372498631477356,-0.10812949389219284,1.4673465490341187,1.4485929012298584,1.4866243600845337,1.487696647644043,-2.512877941131592,-2.512967586517334,-2.5369303226470947,-2.535468339920044
1,0.2285926342010498,-0.38108471035957336,0.10161961615085602,0.9096653461456299,0.009817628189921379,-0.010193892754614353,0.4151008427143097,0.08274976909160614,-0.15328584611415863,0.09877327084541321,-0.12657295167446136,1.5066397190093994,1.4013254642486572,1.5343825817108154,1.5330712795257568,-2.526463508605957,-2.511751890182495,-2.5737245082855225,-2.5751912593841553
2,0.2283175140619278,-0.3810490369796753,0.10243728011846542,0.9093907475471497,0.018761813640594482,-0.013542849570512772,0.4152989387512207,0.03985017165541649,-0.24058032035827637,0.09682565182447433,-0.1500071883201599,1.5718369483947754,1.3211328983306885,1.5910494327545166,1.5812913179397583,-2.5458905696868896,-2.5335607528686523,-2.6024882793426514,-2.6131784915924072
3,0.22826293110847473,-0.38090598583221436,0.10331201553344727,0.908900260925293,0.027287809178233147,-0.01672200858592987,0.41578370332717896,-0.010532034561038017,-0.3325231969356537,0.10287518054246902,-0.16531947255134583,1.6512171030044556,1.2354992628097534,1.6578141450881958,1.6349245309829712,-2.5653321743011475,-2.5829288959503174,-2.6233201026916504,-2.6491856575012207
4,0.2283458411693573,-0.3806941509246826,0.10428975522518158,0.908322274684906,0.036191463470458984,-0.019299091771245003,0.41625526547431946,-0.06956706941127777,-0.4319209158420563,0.10918836295604706,-0.17274321615695953,1.7423841953277588,1.1486804485321045,1.73745858669281,1.6983498334884644,-2.582256317138672,-2.638289213180542,-2.636812448501587,-2.685455560684204
5,0.22858330607414246,-0.38046419620513916,0.1054307073354721,0.9076049327850342,0.045307956635951996,-0.021329155191779137,0.4168280065059662,-0.13374589383602142,-0.5328840017318726,0.11150631308555603,-0.17408567667007446,1.8416376113891602,1.0643121004104614,1.8299455642700195,1.7721920013427734,-2.5932488441467285,-2.6959869861602783,-2.643630027770996,-2.7223801612854004
6,0.22899775207042694,-0.38010790944099426,0.10684997588396072,0.9066779613494873,0.05458342656493187,-0.02249276451766491,0.4176720380783081,-0.2000529021024704,-0.6406741738319397,0.10513557493686676,-0.19091200828552246,1.9421290159225464,0.9795050621032715,1.9328997135162354,1.8345564603805542,-2.596467971801758,-2.72270131111145,-2.6428475379943848,-2.722710132598877
7,0.22956857085227966,-0.37959229946136475,0.1087597906589508,0.9056102633476257,0.06284870207309723,-0.02306530438363552,0.4187937080860138,-0.27077147364616394,-0.7403213381767273,0.08563235402107239,-0.20441672205924988,2.043656349182129,0.8970708250999451,2.0416157245635986,1.8883472681045532,-2.574540615081787,-2.7227001190185547,-2.603463649749756,-2.7227065563201904
8,0.2303188145160675,-0.3790244460105896,0.11109285801649094,0.9042533040046692,0.07061214745044708,-0.022725971415638924,0.42050379514694214,-0.3581535518169403,-0.832094132900238,0.040158841758966446,-0.21566137671470642,2.1352434158325195,0.8116793632507324,2.1453449726104736,1.9384959936141968,-2.5083346366882324,-2.7226998805999756,-2.5343494415283203,-2.7227060794830322
9,0.23112665116786957,-0.3783630430698395,0.11367913335561752,0.9027276039123535,0.0771288201212883,-0.022038070484995842,0.4226684868335724,-0.4445752799510956,-0.9132005572319031,-0.02189420722424984,-0.2221701294183731,2.217529058456421,0.7251408100128174,2.2426486015319824,1.9913010597229004,-2.4382846355438232,-2.706392526626587,-2.4655556678771973,-2.7227044105529785
