step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.22909225523471832,-0.3812159597873688,0.1007218286395073,0.909750759601593,0.002177118556573987,-0.006358729209750891,0.4151003658771515,0.10281910747289658,-0.10053374618291855,0.11421184241771698,-0.11495810002088547,1.458847165107727,1.453861951828003,1.4889174699783325,1.4875988960266113,-2.508159637451172,-2.5085816383361816,-2.5329926013946533,-2.531256675720215
1,0.22858144342899323,-0.38175031542778015,0.10100501775741577,0.9097625613212585,0.005275116302073002,-0.012884515337646008,0.41489535570144653,0.15549306571483612,-0.14462094008922577,0.1395174264907837,-0.15180471539497375,1.4274102449417114,1.432997703552246,1.543025016784668,1.537805438041687,-2.498669147491455,-2.5019335746765137,-2.5593490600585938,-2.5528061389923096
2,0.22814863920211792,-0.3822217583656311,0.10073840618133545,0.9097155332565308,0.008829647675156593,-0.01948213018476963,0.4146808087825775,0.2384999543428421,-0.22227570414543152,0.18449810147285461,-0.21131514012813568,1.3649773597717285,1.3866316080093384,1.611505150794983,1.5997740030288696,-2.4736785888671875,-2.4801039695739746,-2.5724239349365234,-2.5604565143585205
3,0.22776862978935242,-0.3826581537723541,0.10011766105890274,0.9095682501792908,0.012948635034263134,-0.026534557342529297,0.41450434923171997,0.33184361457824707,-0.3216720521450043,0.24810250103473663,-0.2897796332836151,1.290455937385559,1.32066810131073,1.6944408416748047,1.673191785812378,-2.4312074184417725,-2.439227342605591,-2.569091558456421,-2.552358388900757
4,0.22744345664978027,-0.38306376338005066,0.09932257235050201,0.9093170166015625,0.017290201038122177,-0.03376433998346329,0.4143713414669037,0.42865097522735596,-0.4296892583370209,0.32448166608810425,-0.3806627690792084,1.208354115486145,1.2448513507843018,1.7865550518035889,1.7520281076431274,-2.3612213134765625,-2.368586778640747,-2.546250343322754,-2.5228095054626465
5,0.22716064751148224,-0.38344547152519226,0.09853041917085648,0.9089865684509277,0.02184411510825157,-0.04050542041659355,0.4142773151397705,0.5130152702331543,-0.5290102958679199,0.4005950689315796,-0.47191303968429565,1.126521348953247,1.1686866283416748,1.8786189556121826,1.8317205905914307,-2.2827625274658203,-2.290078639984131,-2.506335973739624,-2.477243185043335
6,0.2269076406955719,-0.3838646113872528,0.09782546013593674,0.9085401892662048,0.02806982211768627,-0.04597233235836029,0.41431090235710144,0.5771766901016235,-0.6226406097412109,0.46312281489372253,-0.5626043081283569,1.0433971881866455,1.0908797979354858,1.9722871780395508,1.9126547574996948,-2.204261302947998,-2.2115633487701416,-2.450100898742676,-2.4143481254577637
7,0.22665852308273315,-0.3843764662742615,0.09716431051492691,0.9079340100288391,0.03572339564561844,-0.05020173639059067,0.41455942392349243,0.6264669299125671,-0.7109814286231995,0.5036410689353943,-0.6460098028182983,0.9562633633613586,1.0105198621749878,2.0701699256896973,1.9958359003067017,-2.1257593631744385,-2.133030652999878,-2.378401041030884,-2.3358492851257324
8,0.2263968586921692,-0.3850310146808624,0.09652505069971085,0.9070668816566467,0.044745538383722305,-0.053590938448905945,0.41515737771987915,0.6603290438652039,-0.7892771363258362,0.5190525650978088,-0.7217891216278076,0.8660789132118225,0.9297593235969543,2.1722092628479004,2.081754684448242,-2.0472569465637207,-2.05448317527771,-2.301331043243408,-2.2573506832122803
9,0.22609882056713104,-0.38582220673561096,0.09585238993167877,0.905903160572052,0.0541810505092144,-0.05679482966661453,0.4161469340324402,0.680869996547699,-0.8534011244773865,0.5162323117256165,-0.7895123958587646,0.7730220556259155,0.8489091396331787,2.276113986968994,2.170987129211426,-1.968754529953003,-1.975921630859375,-2.2228097915649414,-2.1788198947906494
10,0.22574393451213837,-0.3867506682872772,0.09508666396141052,0.9044414162635803,0.0637139305472374,-0.06006993353366852,0.4175139367580414,0.6923282146453857,-0.9047166109085083,0.5013595223426819,-0.8495727777481079,0.6777234673500061,0.7667220234870911,2.379627227783203,2.263457775115967,-1.8902519941329956,-1.897352695465088,-2.144273042678833,-2.100282669067383
11,0.22530688345432281,-0.387801855802536,0.09419204294681549,0.9027361273765564,0.07287804037332535,-0.06369812786579132,0.4191647469997406,0.6964128613471985,-0.9432489275932312,0.47979021072387695,-0.9003013372421265,0.5810932517051697,0.6829935908317566,2.482020139694214,2.3588383197784424,-1.8117492198944092,-1.8187800645828247,-2.0657198429107666,-2.021735668182373
12,0.2246682494878769,-0.3883729875087738,0.09431641548871994,0.9020897746086121,0.0751410573720932,-0.0676589086651802,0.41953587532043457,0.7072047591209412,-0.9543334245681763,0.4690963625907898,-0.9190831780433655,0.48748090863227844,0.5951282382011414,2.5724101066589355,2.4432806968688965,-1.736836314201355,-1.740767002105713,-1.9871494770050049,-1.9432028532028198
