step,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11
0,7.392737865447998,-7.223363399505615,12.557524681091309,-9.193562507629395,-8.209169387817383,-7.194794654846191,13.372590065002441,13.573873519897461,7.217679023742676,7.0807881355285645,18.94552993774414,19.523038864135742,5.715552806854248,-3.937370538711548,10.593466758728027,-5.898051738739014,-0.9099013805389404,-0.2807530164718628,9.933518409729004,10.880918502807617,0.175852432847023,0.378393292427063,-1.9670488834381104,-3.5799143314361572,4.311105728149414,-3.9785022735595703,4.148611068725586,-2.6144466400146484,-5.4973368644714355,-2.449345827102661,6.87381649017334,7.247541427612305,2.541618824005127,2.49566388130188,4.658194541931152,5.011111259460449
1,4.958505630493164,-6.8925909996032715,4.221987247467041,5.360113143920898,-7.4200758934021,-2.6962437629699707,11.16230583190918,7.707056045532227,7.3984375,7.314978122711182,14.477177619934082,17.37729835510254,18.199020385742188,-9.253783226013184,19.11815643310547,-1.6896535158157349,-8.338292121887207,-4.873045921325684,15.566628456115723,15.425300598144531,4.953948020935059,5.056486129760742,3.798598527908325,-3.2724595069885254,3.254899501800537,-5.615572929382324,1.5495120286941528,1.540849208831787,-5.969149112701416,-0.4564065933227539,5.8586602210998535,2.9840164184570312,3.424135208129883,3.3010759353637695,3.5395164489746094,3.5426952838897705
2,0.9816551804542542,-4.857956409454346,2.3289051055908203,5.732486248016357,-5.517040252685547,-4.809356689453125,8.464240074157715,6.407322406768799,4.3093109130859375,4.537554740905762,8.962165832519531,17.65610694885254,22.853595733642578,-16.458871841430664,21.84149932861328,0.38643211126327515,-12.721110343933105,-12.14898681640625,15.989836692810059,18.26842498779297,12.379687309265137,14.309233665466309,11.259855270385742,-1.7879815101623535,0.5598151683807373,-4.569621562957764,1.693880319595337,1.198501467704773,-5.618990421295166,-2.258310079574585,4.746257781982422,3.4723219871520996,4.358825206756592,4.283590793609619,3.3348000049591064,3.766392707824707
3,-7.225443363189697,-4.016595363616943,2.3265316486358643,6.973930835723877,-5.430996417999268,-4.583789348602295,8.008872032165527,4.682144641876221,3.3264617919921875,1.9801912307739258,4.254886627197266,15.98847484588623,14.986842155456543,-15.85791301727295,17.838943481445312,2.337212085723877,-11.362831115722656,-12.959474563598633,16.21646499633789,22.54907989501953,10.756155967712402,15.692092895507812,15.686924934387207,11.333954811096191,-1.4025689363479614,-2.990670919418335,1.3990319967269897,1.5269042253494263,-5.04836368560791,-2.467613697052002,4.139373302459717,3.0522990226745605,6.013139724731445,5.941862106323242,3.945540428161621,3.689347505569458
4,-6.239070892333984,-3.113603115081787,1.918821096420288,5.23510217666626,-5.518857955932617,-4.457653522491455,7.41231632232666,3.992743730545044,4.838718891143799,1.9904217720031738,3.654142141342163,5.075969696044922,10.045637130737305,-14.918625831604004,14.341444969177246,5.908822059631348,-13.821316719055176,-13.87920093536377,17.082807540893555,20.373109817504883,15.17498779296875,15.670416831970215,15.7000093460083,14.526632308959961,-0.9684150218963623,-1.418206810951233,0.7052639126777649,1.209123969078064,-5.447320461273193,-2.5490429401397705,4.105116844177246,3.0617411136627197,6.480655670166016,6.632561683654785,4.272393703460693,4.008620262145996
5,-6.246566295623779,-1.0503323078155518,1.020350456237793,3.141960382461548,-4.881186008453369,-4.239621639251709,6.420228481292725,4.720676422119141,2.530911922454834,1.9979411363601685,3.731013774871826,3.9135966300964355,4.651044845581055,-13.314720153808594,11.329586029052734,6.620567321777344,-14.27599048614502,-14.544317245483398,17.568063735961914,19.603532791137695,14.023735046386719,15.668925285339355,15.700008392333984,15.6935396194458,-1.1812715530395508,-0.23063860833644867,0.26572051644325256,0.7204870581626892,-5.174637794494629,-2.467737913131714,3.507481098175049,3.158362627029419,6.543990135192871,6.795992374420166,4.387243747711182,4.386724472045898
6,-4.346652984619141,4.319730758666992,-1.5657237768173218,1.6984416246414185,-4.473842144012451,-4.181132793426514,4.662229061126709,4.913743019104004,2.4245808124542236,2.0382304191589355,4.182802677154541,3.7156496047973633,-0.12299160659313202,-11.547819137573242,-3.6836702823638916,4.549238681793213,-17.65230369567871,-13.685012817382812,15.69162368774414,14.977816581726074,15.560102462768555,15.437700271606445,15.700039863586426,15.69940185546875,-0.8675603866577148,0.837460994720459,-0.4323796331882477,0.30716782808303833,-5.486538410186768,-2.474195718765259,3.0431323051452637,3.025911569595337,6.455240726470947,7.22062873840332,4.59660005569458,4.6774678230285645
7,-1.8307547569274902,6.539053916931152,-1.315368413925171,0.4062448740005493,-3.8268988132476807,-4.375059604644775,8.390636444091797,7.24110746383667,1.9922431707382202,1.9962029457092285,3.995274543762207,4.235019207000732,-3.1200058460235596,-7.45116662979126,-4.693409442901611,4.85413932800293,-17.334415435791016,-15.177597999572754,16.70973777770996,16.358484268188477,15.70010757446289,15.653672218322754,15.693886756896973,15.701966285705566,-0.30319270491600037,1.2194161415100098,-0.3086772859096527,0.04157053679227829,-6.492297649383545,-3.078411817550659,5.329601764678955,3.78893780708313,7.151861190795898,7.900791645050049,4.983761787414551,5.7531514167785645
8,0.3803043067455292,5.891490936279297,-3.6946120262145996,-4.618711471557617,-3.8650577068328857,-4.024053573608398,8.207748413085938,6.849663734436035,1.9924110174179077,2.0140793323516846,3.945382833480835,4.345409870147705,-4.83254337310791,3.838539123535156e-05,-5.9118170738220215,2.3663723468780518,-17.253793716430664,-15.070180892944336,17.28176498413086,15.818929672241211,15.486214637756348,13.505926132202148,15.750199317932129,15.65847110748291,0.15226855874061584,1.0869405269622803,-1.066564917564392,-1.0451059341430664,-7.807248115539551,-2.792489767074585,5.4226250648498535,3.4912612438201904,6.992690563201904,8.411232948303223,4.775069713592529,5.95712423324585
9,2.9138615131378174,1.7789427042007446,-5.718025207519531,-5.493863582611084,-3.820380926132202,-3.88826322555542,7.991662979125977,7.10694694519043,1.9921234846115112,1.9937649965286255,3.8958075046539307,4.459610462188721,-7.208569049835205,-0.09070512652397156,-9.180590629577637,-3.5607118606567383,-17.695066452026367,-16.395950317382812,17.867277145385742,15.85958194732666,15.691946983337402,15.68867301940918,15.698622703552246,15.645824432373047,0.583416223526001,0.23870564997196198,-1.7256264686584473,-1.2065414190292358,-8.524177551269531,-2.7744579315185547,5.529337406158447,3.5589358806610107,6.830027103424072,8.034323692321777,4.562905311584473,6.314939022064209
