step,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11
0,-11.39034652709961,8.221247673034668,9.314117431640625,-2.3833396434783936,-14.003011703491211,-13.095290184020996,-5.5038347244262695,4.824060916900635,1.875591516494751,11.964360237121582,11.92697811126709,13.2847261428833,1.0812593698501587,2.5192062854766846,5.265688896179199,0.8314908146858215,1.7885141372680664,-1.7709800004959106,0.9984091520309448,4.519237518310547,-3.0646417140960693,-2.3585689067840576,-2.4247887134552,-5.643570899963379,-5.267475128173828,3.13535737991333,3.731020927429199,-0.8021450638771057,-13.322221755981445,-7.7511091232299805,-1.9373611211776733,1.6755743026733398,0.6289243102073669,5.87923526763916,5.835083961486816,8.258408546447754
1,-4.61487340927124,5.364618301391602,-2.4274051189422607,2.137596607208252,-18.334300994873047,-5.029910564422607,1.0347119569778442,-1.6039763689041138,-2.1218156814575195,17.992647171020508,20.132469177246094,23.385284423828125,2.0215470790863037,1.5113632678985596,3.4255669116973877,2.442270278930664,1.0132416486740112,-0.3177674114704132,2.408635377883911,4.117521286010742,-2.9097094535827637,-0.0036330446600914,-3.9618630409240723,-3.49404239654541,0.03376505523920059,0.8650091290473938,-2.05163311958313,1.068593144416809,-5.586160182952881,-0.035413213074207306,1.1108121871948242,-1.12931489944458,-1.1047168970108032,5.195888042449951,7.996038913726807,7.3974409103393555
2,-1.8132367134094238,2.4991228580474854,-10.04820728302002,2.9671339988708496,-17.881256103515625,-3.3811473846435547,4.174941062927246,0.9530676603317261,-5.79728364944458,17.416942596435547,24.7589168548584,23.309303283691406,2.789044141769409,1.9295622110366821,3.935058832168579,3.1730539798736572,-1.6261944770812988,-0.6628125905990601,2.0491509437561035,2.8042149543762207,-3.274778366088867,0.44201597571372986,-4.224130630493164,-1.7109856605529785,0.027605749666690826,0.0964781790971756,-3.122178316116333,0.7906454205513,-4.425188064575195,-0.427670419216156,1.4109077453613281,0.5565670132637024,-2.0464086532592773,4.89251708984375,8.966540336608887,6.6877760887146
3,0.422577828168869,0.4539314806461334,-14.461552619934082,3.15275239944458,-16.282609939575195,-2.3454465866088867,5.140537261962891,3.7082746028900146,-7.691215991973877,16.89457130432129,26.48496437072754,21.975645065307617,3.8161227703094482,1.556281328201294,4.206390380859375,2.9597034454345703,-5.539844036102295,-1.3286415338516235,1.3267288208007812,1.9982779026031494,-4.006010055541992,1.6314398050308228,-3.9427788257598877,-2.095942258834839,0.38263675570487976,-0.18925975263118744,-3.6531145572662354,0.7505194544792175,-4.36499547958374,-0.344404399394989,1.2631688117980957,1.2441340684890747,-2.3343026638031006,4.376824855804443,9.477840423583984,6.322503089904785
4,3.070098638534546,0.4441855549812317,-16.941286087036133,1.8238892555236816,-13.19300365447998,-2.2025961875915527,5.12363862991333,6.717127799987793,-7.317610740661621,15.063422203063965,26.857528686523438,21.859296798706055,5.936007022857666,1.2233474254608154,1.7591363191604614,2.919102430343628,-10.050196647644043,-1.6101175546646118,-0.14814725518226624,1.386908769607544,-6.319881916046143,1.8642021417617798,2.209721565246582,-1.7328617572784424,1.1311975717544556,0.09147627651691437,-3.997666120529175,0.2044888734817505,-3.713153123855591,-0.4497031569480896,1.0692262649536133,1.9591248035430908,-1.9225457906723022,3.834294319152832,9.941583633422852,5.573119640350342
5,4.660815238952637,-0.49018383026123047,-16.023305892944336,-0.24553023278713226,-9.974300384521484,-1.0426143407821655,2.436650514602661,8.251239776611328,-4.303236484527588,13.27363109588623,20.162567138671875,20.76621437072754,9.71408462524414,-0.39224499464035034,2.84897518157959,3.195547103881836,-15.536432266235352,-2.2591397762298584,-2.687605857849121,0.9694221019744873,-7.227395057678223,2.5479910373687744,1.4213236570358276,-2.0934524536132812,1.517055630683899,-0.21962670981884003,-3.6600630283355713,-0.3449309468269348,-3.2820823192596436,-0.05994123965501785,0.09359938651323318,2.0437214374542236,-0.8850207924842834,3.0618185997009277,9.839842796325684,5.089240550994873
6,3.8770911693573,-2.039595127105713,-14.357320785522461,-2.0978775024414062,-5.8957319259643555,-1.6289933919906616,0.6484134197235107,7.518137454986572,2.91633677482605,9.893296241760254,21.026824951171875,20.38041877746582,13.730061531066895,-3.8330495357513428,2.0623104572296143,2.640165328979492,-19.897563934326172,-3.8231351375579834,-1.745160698890686,0.7060481309890747,0.36444389820098877,3.894477605819702,0.5553769469261169,-1.5750901699066162,1.1568974256515503,-0.6297785639762878,-2.5863945484161377,-0.6056650280952454,-2.2160515785217285,-0.4414812922477722,-0.12490396946668625,1.4835176467895508,1.6126530170440674,1.9275341033935547,9.279221534729004,4.756556510925293
7,2.346135377883911,-1.3906701803207397,-13.474396705627441,-2.4689462184906006,-0.6346590518951416,-1.7985759973526,-0.09137099981307983,7.218167304992676,12.581428527832031,7.607955455780029,21.774166107177734,19.44083023071289,13.863987922668457,-8.284432411193848,1.2081907987594604,-1.1670416593551636,-17.538726806640625,-6.17948055267334,-2.0683722496032715,1.338681936264038,8.53991413116455,11.035593032836914,0.9289642572402954,0.5956624746322632,0.679392397403717,-0.2559179663658142,-2.7234551906585693,-0.5056880116462708,1.0161081552505493,-0.45332974195480347,-0.111720971763134,1.4746277332305908,5.8698225021362305,1.7069185972213745,8.434776306152344,4.62589693069458
8,0.11142384260892868,0.6278510689735413,-12.619714736938477,-0.20643115043640137,11.698866844177246,-2.4297778606414795,1.964621901512146,7.3219428062438965,10.496050834655762,2.252580165863037,21.17960548400879,17.81658363342285,9.353256225585938,-8.448585510253906,0.6629351377487183,-3.254028081893921,-9.312590599060059,-7.226800918579102,-1.6508793830871582,2.9342124462127686,9.794207572937012,12.127923965454102,0.9690238833427429,1.7653727531433105,-0.5083061456680298,0.37740427255630493,-2.5989086627960205,0.23124724626541138,3.0949149131774902,-0.7507773637771606,0.6294354796409607,1.6311911344528198,7.8732428550720215,0.41045814752578735,8.157303810119629,5.046463489532471
9,-5.458113670349121,5.335920810699463,-13.307564735412598,1.2316259145736694,6.551139831542969,-2.9380040168762207,1.7919455766677856,8.053337097167969,10.601449966430664,-5.079879283905029,21.060211181640625,17.319700241088867,3.4290215969085693,-3.638979196548462,0.026443541049957275,-5.296801567077637,-4.388003349304199,-6.170145034790039,-1.116628646850586,5.143096446990967,6.283323287963867,5.695802211761475,1.0822010040283203,8.846248626708984,-1.4608896970748901,1.3598947525024414,-3.108405828475952,0.4000873565673828,0.6870134472846985,-0.8916381001472473,0.32165247201919556,2.0783469676971436,8.619702339172363,-1.8067317008972168,8.144969940185547,5.523256301879883
