step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.4583359658718109,-0.7609947919845581,0.10176581144332886,0.9999825954437256,-0.0035242033191025257,-0.004666363354772329,0.0007182069821283221,0.10291336476802826,-0.08359243720769882,0.12612640857696533,-0.09412587434053421,1.401170015335083,1.4040700197219849,1.4134907722473145,1.4072086811065674,-2.441413402557373,-2.5686018466949463,-2.635016918182373,-2.4511542320251465
1,0.4571121633052826,-0.7605599761009216,0.10421303659677505,0.9999090433120728,-0.010109109804034233,-0.008831329643726349,0.0013566536363214254,0.1123509332537651,-0.07561443746089935,0.14457137882709503,-0.08521708101034164,1.4055850505828857,1.400002121925354,1.4247387647628784,1.4238288402557373,-2.455291271209717,-2.567253589630127,-2.656522750854492,-2.472691297531128
2,0.45584988594055176,-0.7598854899406433,0.10710707306861877,0.9997439980506897,-0.018763834610581398,-0.01247083954513073,0.0020947488956153393,0.12584760785102844,-0.06635351479053497,0.16425874829292297,-0.0727018341422081,1.399682879447937,1.395788311958313,1.4359066486358643,1.4369242191314697,-2.4677867889404297,-2.564023017883301,-2.6795754432678223,-2.488987445831299
3,0.4546594023704529,-0.7589460611343384,0.1103086918592453,0.9994658827781677,-0.028533408418297768,-0.015645667910575867,0.003021614858880639,0.14472901821136475,-0.05773310363292694,0.1851034164428711,-0.058721866458654404,1.372026801109314,1.388715386390686,1.444862961769104,1.448365330696106,-2.4878058433532715,-2.5558321475982666,-2.7017834186553955,-2.502788782119751
4,0.4536062479019165,-0.7577909231185913,0.11368045955896378,0.9990727305412292,-0.03880539909005165,-0.01820073463022709,0.004058907739818096,0.17410387098789215,-0.052030809223651886,0.2005058377981186,-0.045554377138614655,1.3219547271728516,1.3798353672027588,1.4466043710708618,1.4589922428131104,-2.5195062160491943,-2.5454182624816895,-2.7086429595947266,-2.5154359340667725
5,0.4527137279510498,-0.7564274072647095,0.11702152341604233,0.9985774159431458,-0.04914020001888275,-0.020052580162882805,0.005132425110787153,0.22207187116146088,-0.054746631532907486,0.21341224014759064,-0.03349980711936951,1.2442947626113892,1.3683785200119019,1.4361026287078857,1.4682605266571045,-2.555638074874878,-2.5322961807250977,-2.7039732933044434,-2.5272865295410156
6,0.45189744234085083,-0.754940390586853,0.12020605057477951,0.9980406165122986,-0.05853257328271866,-0.02120724879205227,0.00626430893316865,0.2901695668697357,-0.07475847005844116,0.22297361493110657,-0.0248515997081995,1.1448583602905273,1.3492772579193115,1.4254086017608643,1.4765441417694092,-2.5537476539611816,-2.512612819671631,-2.6991829872131348,-2.538404941558838
7,0.4511273503303528,-0.7534515261650085,0.12326030433177948,0.9975407123565674,-0.06607377529144287,-0.02217930741608143,0.007424246519804001,0.3586123585700989,-0.11416210234165192,0.22914613783359528,-0.027247341349720955,1.0583416223526,1.3192698955535889,1.4143788814544678,1.4841892719268799,-2.5166208744049072,-2.463686466217041,-2.6943721771240234,-2.5396037101745605
8,0.4504362940788269,-0.7519783973693848,0.12633825838565826,0.9970835447311401,-0.07205846160650253,-0.02367899939417839,0.00844904687255621,0.404622346162796,-0.15618622303009033,0.2322281301021576,-0.04196609929203987,1.0127019882202148,1.2830429077148438,1.4058562517166138,1.4997214078903198,-2.472791910171509,-2.4027934074401855,-2.6894338130950928,-2.5358619689941406
9,0.44974663853645325,-0.7505530714988708,0.12971171736717224,0.9966632723808289,-0.0767364427447319,-0.026236293837428093,0.00925138033926487,0.4213453233242035,-0.17370346188545227,0.23247815668582916,-0.06408006697893143,0.9921422004699707,1.2519983053207397,1.4000595808029175,1.5255225896835327,-2.447566509246826,-2.3742856979370117,-2.684349298477173,-2.5200729370117188
