step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,7.450979709625244,-15.832727432250977,0.04060712084174156,0.9999940991401672,-0.0032297871075570583,-0.0011371431173756719,0.0003129134129267186,0.08680493384599686,-0.08841107040643692,0.15580123662948608,-0.09550958126783371,1.3657723665237427,1.4238752126693726,1.408626914024353,1.453858733177185,-2.4753870964050293,-2.4656925201416016,-2.296794891357422,-2.4948582649230957
1,7.450962066650391,-15.832365989685059,0.04166003689169884,0.999950647354126,-0.009652983397245407,-0.002227902878075838,0.0006690686568617821,0.08793862909078598,-0.05717340111732483,0.20977026224136353,-0.08293739706277847,1.3052223920822144,1.3632347583770752,1.365914225578308,1.4508123397827148,-2.429027557373047,-2.387190818786621,-2.240347146987915,-2.4876904487609863
2,7.450874328613281,-15.831998825073242,0.0429534837603569,0.9998424649238586,-0.017492005601525307,-0.0027990711387246847,0.0010988132562488317,0.09861058741807938,-0.018893778324127197,0.23466873168945312,-0.06722424179315567,1.2257217168807983,1.282028079032898,1.353454351425171,1.444857120513916,-2.350559711456299,-2.308688163757324,-2.2344517707824707,-2.4789910316467285
3,7.4505486488342285,-15.83178997039795,0.04378100112080574,0.9996965527534485,-0.024548199027776718,-0.0019199834205210209,0.0007481115171685815,0.10908862948417664,-0.005996584892272949,0.2468808889389038,-0.05441520735621452,1.1765925884246826,1.238379955291748,1.3509573936462402,1.4332237243652344,-2.32468843460083,-2.267334222793579,-2.2351558208465576,-2.470369815826416
4,7.449916362762451,-15.831564903259277,0.04481290280818939,0.9995014071464539,-0.031530484557151794,-0.0016616909997537732,1.0595546882541385e-05,0.12442497909069061,0.014652005396783352,0.25767046213150024,-0.04864329844713211,1.1752434968948364,1.233260154724121,1.348758339881897,1.4201241731643677,-2.3270697593688965,-2.269129991531372,-2.2348880767822266,-2.4579172134399414
5,7.449302673339844,-15.831392288208008,0.045972444117069244,0.9992994666099548,-0.03733159974217415,-0.0023788618855178356,-0.0011671921238303185,0.1377813071012497,0.027577390894293785,0.26570114493370056,-0.054977837949991226,1.1742945909500122,1.2242791652679443,1.3496352434158325,1.407395601272583,-2.323472261428833,-2.2599384784698486,-2.2354772090911865,-2.4431376457214355
6,7.448796272277832,-15.831201553344727,0.0472748763859272,0.9991055130958557,-0.042013730853796005,-0.00404586736112833,-0.002554412931203842,0.1481577455997467,0.03802599757909775,0.2715194523334503,-0.06093732267618179,1.1713002920150757,1.217567801475525,1.3542877435684204,1.4015464782714844,-2.313947916030884,-2.2490296363830566,-2.237790107727051,-2.4311442375183105
7,7.448428153991699,-15.83095932006836,0.04874224215745926,0.9989196062088013,-0.04583968222141266,-0.006503977347165346,-0.003998940344899893,0.15668271481990814,0.04490862414240837,0.2751117944717407,-0.06251447647809982,1.1703534126281738,1.2154229879379272,1.3605661392211914,1.3989301919937134,-2.30306339263916,-2.2235591411590576,-2.239206552505493,-2.4233829975128174
8,7.44815731048584,-15.830724716186523,0.050316423177719116,0.9987389445304871,-0.049005407840013504,-0.009322290308773518,-0.005675636697560549,0.16404612362384796,0.05100282281637192,0.2769772410392761,-0.06137392297387123,1.1695256233215332,1.2152570486068726,1.3687092065811157,1.3949476480484009,-2.289903163909912,-2.204612970352173,-2.2409117221832275,-2.417694568634033
9,7.447947025299072,-15.830450057983398,0.052123602479696274,0.9985344409942627,-0.05206723138689995,-0.012753624469041824,-0.007438757922500372,0.17088636755943298,0.0585847832262516,0.27849385142326355,-0.060632433742284775,1.1691862344741821,1.2089991569519043,1.3787463903427124,1.3924775123596191,-2.2747905254364014,-2.187706470489502,-2.2431039810180664,-2.411567211151123
10,7.447788715362549,-15.830155372619629,0.054124053567647934,0.9983072876930237,-0.05496501177549362,-0.016585996374487877,-0.009289042092859745,0.1772496998310089,0.06617221236228943,0.2793017327785492,-0.06050616502761841,1.1685445308685303,1.2023088932037354,1.3895198106765747,1.3906108140945435,-2.2573366165161133,-2.169487714767456,-2.2445626258850098,-2.405285596847534
11,7.447662830352783,-15.829848289489746,0.056338902562856674,0.9980446696281433,-0.05789891257882118,-0.020717719569802284,-0.011199361644685268,0.18336308002471924,0.07391554862260818,0.2799752652645111,-0.06028565391898155,1.1678900718688965,1.1946775913238525,1.4010206460952759,1.3893297910690308,-2.2385404109954834,-2.1490478515625,-2.2457709312438965,-2.398524522781372
12,7.447552680969238,-15.829537391662598,0.058753661811351776,0.9977431893348694,-0.060915518552064896,-0.024987466633319855,-0.013170180842280388,0.18975593149662018,0.08167567104101181,0.28062576055526733,-0.05991514399647713,1.1666358709335327,1.1869093179702759,1.4124422073364258,1.387658715248108,-2.21810245513916,-2.127185344696045,-2.246152877807617,-2.390887498855591
13,7.447447776794434,-15.829230308532715,0.06135803461074829,0.9974032640457153,-0.06401687115430832,-0.029289601370692253,-0.015195424668490887,0.19607412815093994,0.08961556106805801,0.28126972913742065,-0.05903727561235428,1.1649742126464844,1.1785118579864502,1.4237326383590698,1.3858762979507446,-2.1967358589172363,-2.1040148735046387,-2.2459893226623535,-2.382628917694092
14,7.4473466873168945,-15.828943252563477,0.06412926316261292,0.9970296025276184,-0.0671575516462326,-0.033518821001052856,-0.017269957810640335,0.20280197262763977,0.09771046042442322,0.2818353772163391,-0.05784197524189949,1.1625430583953857,1.169599175453186,1.434034824371338,1.3833085298538208,-2.174239158630371,-2.0799202919006348,-2.244434356689453,-2.3733575344085693
15,7.44724178314209,-15.828685760498047,0.06705108284950256,0.9966298341751099,-0.07027637958526611,-0.03761041909456253,-0.019384240731596947,0.2093362659215927,0.10579998791217804,0.28232109546661377,-0.05633380264043808,1.1595542430877686,1.1601732969284058,1.443804383277893,1.37995445728302,-2.151153326034546,-2.0551340579986572,-2.24237060546875,-2.3631865978240967
16,7.447137355804443,-15.828473091125488,0.07009915262460709,0.9962140321731567,-0.07328460365533829,-0.041513364762067795,-0.02153119444847107,0.21607282757759094,0.11383985728025436,0.28250235319137573,-0.05464080348610878,1.1557668447494507,1.1503962278366089,1.4520251750946045,1.375923991203308,-2.1272804737091064,-2.0300345420837402,-2.2385470867156982,-2.35237717628479
17,7.447031497955322,-15.828307151794434,0.07325605303049088,0.995792806148529,-0.07610270380973816,-0.04520368576049805,-0.023699987679719925,0.222364604473114,0.12158115208148956,0.28239789605140686,-0.05274159833788872,1.151397943496704,1.1402854919433594,1.4595340490341187,1.3713250160217285,-2.1030237674713135,-2.0047061443328857,-2.2342824935913086,-2.34100079536438
18,7.446927547454834,-15.828194618225098,0.07650606334209442,0.9953727722167969,-0.07871116697788239,-0.04865189641714096,-0.02589687891304493,0.22869518399238586,0.12917843461036682,0.28183770179748535,-0.05088860169053078,1.1462801694869995,1.1299108266830444,1.465300440788269,1.3658320903778076,-2.078186511993408,-1.9794329404830933,-2.2281556129455566,-2.328726053237915
19,7.446823596954346,-15.828137397766113,0.07984477281570435,0.9949597716331482,-0.08107099682092667,-0.05188889056444168,-0.02811136655509472,0.23449189960956573,0.13811293244361877,0.2809182405471802,-0.04910540580749512,1.1406128406524658,1.1189066171646118,1.4703724384307861,1.3598213195800781,-2.0529897212982178,-1.9565390348434448,-2.2216498851776123,-2.3161580562591553
20,7.446720123291016,-15.828131675720215,0.08328133821487427,0.994551956653595,-0.08321750164031982,-0.05496766418218613,-0.030328741297125816,0.2402224838733673,0.15276628732681274,0.2796527147293091,-0.04712522774934769,1.134224534034729,1.1036356687545776,1.4738799333572388,1.3534562587738037,-2.0270464420318604,-1.9439860582351685,-2.2133939266204834,-2.303055763244629
21,7.446610927581787,-15.828193664550781,0.08678311854600906,0.9941699504852295,-0.0849619209766388,-0.05787181109189987,-0.03253483027219772,0.2451322227716446,0.17575548589229584,0.2778486907482147,-0.045474421232938766,1.127238392829895,1.083967685699463,1.4766366481781006,1.346692442893982,-2.0006628036499023,-1.9561282396316528,-2.2047276496887207,-2.2896173000335693
