step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,7.450939178466797,-15.83285140991211,0.04042242094874382,0.9999979138374329,-0.001996244303882122,-0.0003639465430751443,-0.0002812891616486013,0.11782874912023544,-0.07705812901258469,0.10211686789989471,-0.11707554757595062,1.3686734437942505,1.4456788301467896,1.4354610443115234,1.42257559299469,-2.413800001144409,-2.4813833236694336,-2.3426320552825928,-2.483055591583252
1,7.450916290283203,-15.832669258117676,0.04113302379846573,0.999975860118866,-0.006894696969538927,-0.000573992554564029,-0.0007333592511713505,0.12771841883659363,-0.05644799768924713,0.11935359239578247,-0.11592770367860794,1.3456671237945557,1.409558653831482,1.4205600023269653,1.38685142993927,-2.320758581161499,-2.3992342948913574,-2.293036699295044,-2.4682838916778564
2,7.450722694396973,-15.832478523254395,0.04184988513588905,0.999927282333374,-0.01196250319480896,-0.000473577412776649,-0.0014585485914722085,0.13004909455776215,-0.0368683785200119,0.12565739452838898,-0.12703348696231842,1.3085589408874512,1.3561543226242065,1.4186956882476807,1.3345515727996826,-2.277444362640381,-2.308140516281128,-2.2913105487823486,-2.4453277587890625
3,7.450397491455078,-15.832262992858887,0.04245991259813309,0.9998487830162048,-0.0172495786100626,2.7094203687738627e-05,-0.0022118890192359686,0.1429208368062973,-0.0132634611800313,0.1337437778711319,-0.13990123569965363,1.311358094215393,1.3065823316574097,1.4188956022262573,1.2759343385696411,-2.2823779582977295,-2.215318202972412,-2.292282819747925,-2.41656494140625
4,7.44989538192749,-15.832361221313477,0.04288053885102272,0.9997596144676208,-0.021571382880210876,0.0008572060032747686,-0.003834024304524064,0.1547061800956726,-0.006694059818983078,0.13859152793884277,-0.14700622856616974,1.3095608949661255,1.3112938404083252,1.417824149131775,1.2227402925491333,-2.2819058895111084,-2.222440719604492,-2.292790651321411,-2.392270803451538
5,7.449398994445801,-15.832464218139648,0.04355977848172188,0.9996736645698547,-0.024975653737783432,0.0004698079719673842,-0.005353710148483515,0.164545938372612,0.005938887596130371,0.1421046257019043,-0.15235696732997894,1.3070776462554932,1.3047795295715332,1.4192785024642944,1.1971036195755005,-2.2773072719573975,-2.2215099334716797,-2.293694496154785,-2.3757550716400146
6,7.4489288330078125,-15.832571029663086,0.044470977038145065,0.9995846152305603,-0.027995562180876732,-0.0006270490121096373,-0.006814402993768454,0.17291855812072754,0.014633513987064362,0.1451054811477661,-0.1480075567960739,1.3042277097702026,1.2990802526474,1.4220521450042725,1.1917827129364014,-2.270350217819214,-2.2156054973602295,-2.294447660446167,-2.3719213008880615
7,7.448514938354492,-15.832655906677246,0.04563196003437042,0.9994999766349792,-0.03042546473443508,-0.0025318185798823833,-0.008241971954703331,0.17954325675964355,0.02235221117734909,0.14699339866638184,-0.1456093192100525,1.3013343811035156,1.2925868034362793,1.4266022443771362,1.187305212020874,-2.2608277797698975,-2.2064363956451416,-2.29522705078125,-2.3677315711975098
8,7.448158264160156,-15.832717895507812,0.0470227487385273,0.9994223117828369,-0.03217953443527222,-0.005164801143109798,-0.009638134390115738,0.18418321013450623,0.028528092429041862,0.14758309721946716,-0.14414413273334503,1.2977797985076904,1.2861666679382324,1.4325544834136963,1.185526967048645,-2.2482519149780273,-2.1950581073760986,-2.295714855194092,-2.363900899887085
9,7.447842121124268,-15.832761764526367,0.04862912744283676,0.9993481040000916,-0.033347588032484055,-0.008330914191901684,-0.011033337563276291,0.1872202605009079,0.03342699259519577,0.14685477316379547,-0.14395807683467865,1.2940313816070557,1.2795637845993042,1.4395372867584229,1.1850056648254395,-2.233621835708618,-2.1814815998077393,-2.295898914337158,-2.360297918319702
10,7.447539806365967,-15.832793235778809,0.05042041465640068,0.9992752075195312,-0.03397604450583458,-0.011792488396167755,-0.01247361209243536,0.1888812631368637,0.03676234558224678,0.1448206603527069,-0.1449233442544937,1.2897835969924927,1.2735248804092407,1.4469525814056396,1.1850138902664185,-2.217233419418335,-2.1668143272399902,-2.2956655025482178,-2.356536865234375
11,7.4472455978393555,-15.832819938659668,0.052360083907842636,0.9992045164108276,-0.03406716510653496,-0.01532797235995531,-0.013958851806819439,0.1894383430480957,0.03663093224167824,0.14148065447807312,-0.14701515436172485,1.2848783731460571,1.2665302753448486,1.4536142349243164,1.1849398612976074,-2.1994855403900146,-2.1462254524230957,-2.2941524982452393,-2.352349281311035
12,7.446923732757568,-15.832866668701172,0.05442534014582634,0.9991291761398315,-0.0339001901447773,-0.01867527887225151,-0.015589074231684208,0.18961115181446075,0.03352019563317299,0.1371719092130661,-0.1495848149061203,1.2796739339828491,1.2593449354171753,1.459684133529663,1.1837043762207031,-2.181528091430664,-2.124532699584961,-2.2921202182769775,-2.3472771644592285
13,7.446577548980713,-15.832940101623535,0.05659822002053261,0.9990515112876892,-0.033517561852931976,-0.021717360243201256,-0.017352018505334854,0.18975988030433655,0.026024848222732544,0.13208766281604767,-0.15250781178474426,1.273353934288025,1.2504913806915283,1.4645763635635376,1.1810424327850342,-2.162508964538574,-2.097198009490967,-2.289278507232666,-2.341099739074707
14,7.446206569671631,-15.833048820495605,0.05888379365205765,0.9989669322967529,-0.03312956541776657,-0.024395808577537537,-0.019296884536743164,0.19018475711345673,0.016201939433813095,0.12652845680713654,-0.1552899330854416,1.2669938802719116,1.2410993576049805,1.46736478805542,1.1766612529754639,-2.1440134048461914,-2.0658211708068848,-2.2844791412353516,-2.333664655685425
15,7.445815563201904,-15.833192825317383,0.06127198785543442,0.9988774657249451,-0.03274756669998169,-0.026710856705904007,-0.021401729434728622,0.19109056890010834,0.00521039729937911,0.1207357794046402,-0.15787462890148163,1.2594859600067139,1.2318973541259766,1.469285249710083,1.1707032918930054,-2.1244373321533203,-2.0311739444732666,-2.2792224884033203,-2.324981212615967
16,7.445416450500488,-15.833366394042969,0.06377848982810974,0.9987810254096985,-0.03245079517364502,-0.028719587251544,-0.02363627217710018,0.19236472249031067,-0.0035095883067697287,0.11485344916582108,-0.16006533801555634,1.2521024942398071,1.2237029075622559,1.4700342416763306,1.1633830070495605,-2.1054835319519043,-1.9992836713790894,-2.2731540203094482,-2.31508207321167
