step,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11
0,-8.7257719039917,8.738266944885254,-1.8350634574890137,3.2085747718811035,-8.320186614990234,-4.318875312805176,3.877063512802124,7.426816940307617,12.739950180053711,10.834972381591797,10.057977676391602,10.884261131286621,0.824312686920166,1.6831141710281372,1.055112600326538,0.1357000470161438,1.672012209892273,0.8588228225708008,4.158943176269531,5.377717971801758,-2.4147841930389404,-1.908796787261963,-3.4398767948150635,-5.250821590423584,-3.3987464904785156,3.405503273010254,-0.6151768565177917,1.0885815620422363,-3.1856372356414795,-1.48736572265625,1.32648766040802,2.752326011657715,7.008569717407227,4.777556419372559,4.201493263244629,4.817944049835205
1,-7.843249797821045,5.033176422119141,-8.815505981445312,6.653052806854248,2.124912977218628,8.716882705688477,-3.964829206466675,4.221128463745117,19.40856170654297,12.658791542053223,19.623863220214844,19.84351921081543,0.7551048398017883,0.4258030951023102,1.2660850286483765,0.4121464192867279,1.7946778535842896,1.5218775272369385,4.337619781494141,5.774552822113037,-2.3506572246551514,-0.6287252902984619,-3.8656692504882812,-4.745124816894531,-1.423256754875183,0.6154881715774536,-2.9197604656219482,1.8965680599212646,1.9665844440460205,4.669964790344238,-1.7554272413253784,0.7286497354507446,6.212754249572754,2.6603636741638184,6.989452838897705,5.252625942230225
2,-5.380091190338135,4.105742454528809,-9.875215530395508,6.676194667816162,8.195394515991211,12.048016548156738,0.21159693598747253,2.4758176803588867,22.492788314819336,14.22920036315918,23.90980339050293,23.097728729248047,0.908858060836792,1.6251612901687622,1.9085171222686768,1.0557951927185059,1.8765887022018433,3.9630167484283447,4.551936149597168,5.920567512512207,-1.625923752784729,-0.041919201612472534,-3.9945034980773926,-3.6385064125061035,-0.737580418586731,0.6821298599243164,-2.164304733276367,1.4056655168533325,2.935192584991455,3.606837034225464,0.5493640303611755,0.3365115821361542,8.032047271728516,3.648653030395508,8.45137882232666,6.43904447555542
3,-7.288698196411133,4.501953125,-10.634830474853516,7.417360782623291,9.136802673339844,8.88133430480957,1.932321310043335,1.1415584087371826,23.006685256958008,14.5189847946167,25.802444458007812,24.046009063720703,1.1375936269760132,2.311631679534912,2.3232338428497314,1.4995617866516113,2.723996162414551,4.947866439819336,4.956319808959961,6.069533348083496,-1.2926665544509888,0.5572206974029541,-4.061927318572998,-3.4766273498535156,-1.7330636978149414,1.0480432510375977,-2.2219998836517334,1.734488606452942,2.2419798374176025,1.8005805015563965,0.7317613959312439,0.06522480398416519,8.097424507141113,3.533013343811035,8.997836112976074,7.282833576202393
4,-8.427427291870117,4.934920787811279,-11.249706268310547,7.550191879272461,8.496320724487305,8.064592361450195,1.3403650522232056,0.5827754735946655,23.118488311767578,14.13271713256836,26.565858840942383,24.65659523010254,1.1801329851150513,3.2883002758026123,2.417499303817749,1.5304577350616455,1.9760693311691284,6.1841535568237305,4.535797595977783,5.92732048034668,-0.14831727743148804,1.05929434299469,-2.412064552307129,-3.253004789352417,-1.8540364503860474,1.1709338426589966,-2.319356679916382,1.6934171915054321,1.9138782024383545,1.9594309329986572,0.23149879276752472,0.05384866148233414,8.036547660827637,3.4068803787231445,8.943732261657715,7.263726711273193
5,-8.046472549438477,4.927000045776367,-11.644250869750977,8.197772026062012,8.697218894958496,6.394434452056885,0.507800281047821,1.3920170068740845,21.833606719970703,13.921501159667969,24.989452362060547,24.436616897583008,1.5850924253463745,2.4683303833007812,2.127030372619629,1.744558572769165,2.0361413955688477,0.004464447032660246,1.3722269535064697,5.317028522491455,0.2871474027633667,3.644498825073242,1.329396367073059,-2.4905014038085938,-1.5523146390914917,1.1536544561386108,-2.3862674236297607,1.9195588827133179,1.9640769958496094,1.4391863346099854,-0.014644373208284378,0.4821379482746124,7.4981279373168945,3.484489917755127,8.882659912109375,6.802530765533447
6,-6.255765914916992,5.612648010253906,-12.732452392578125,6.187603950500488,8.635618209838867,11.136958122253418,-0.8968848586082458,2.1934285163879395,21.1136531829834,11.496416091918945,20.80155372619629,22.763418197631836,1.732406735420227,4.194801330566406,2.654285192489624,2.0011377334594727,2.041588306427002,0.0012317508226260543,2.8759374618530273,5.408516883850098,0.6508729457855225,7.848972320556641,0.5469338893890381,-2.1122424602508545,-0.9617540836334229,1.3353101015090942,-2.8238744735717773,1.055221676826477,1.9511432647705078,2.985717296600342,-0.3663865923881531,0.661219596862793,7.028234958648682,3.1087350845336914,8.472372055053711,5.7340826988220215
7,-5.383637428283691,4.864243984222412,-13.91226863861084,7.810825824737549,7.169891357421875,7.305970668792725,-1.2304463386535645,3.8799917697906494,20.187223434448242,7.84000301361084,21.751909255981445,21.926654815673828,1.8480901718139648,5.295459747314453,2.595778703689575,2.025893449783325,1.9927196502685547,0.0007819570600986481,2.894711971282959,5.317576885223389,1.0893261432647705,8.252126693725586,0.8775075674057007,-1.9363147020339966,-0.9159279465675354,1.0877807140350342,-3.0389325618743896,2.030878782272339,1.3661224842071533,0.9635511636734009,-0.26027345657348633,1.2500923871994019,6.305248737335205,2.6743693351745605,8.806511878967285,5.6225810050964355
8,-4.188918113708496,3.5084054470062256,-13.994105339050293,7.874698162078857,6.6841044425964355,5.354454040527344,-3.2313430309295654,4.439195156097412,19.084627151489258,6.954366207122803,21.289941787719727,20.902664184570312,2.615629196166992,5.311227321624756,2.5612661838531494,2.1032862663269043,0.2770777940750122,-0.023342065513134003,3.1615946292877197,5.479429721832275,1.6910254955291748,8.514886856079102,0.8344169855117798,-1.7613954544067383,-0.6407214403152466,0.670050859451294,-2.913153648376465,1.7790724039077759,1.4004783630371094,0.8188815116882324,-0.8417506217956543,1.1914714574813843,5.728646755218506,2.4116086959838867,8.361766815185547,5.025953769683838
9,-3.7659027576446533,1.703772783279419,-13.96951961517334,7.544200897216797,7.250931739807129,5.279886245727539,-3.6978814601898193,4.2451629638671875,17.940481185913086,6.397190093994141,21.1954288482666,19.949142456054688,0.20430056750774384,4.877114295959473,2.536560297012329,1.7057656049728394,-0.0001409129472449422,0.05496165528893471,3.0103795528411865,5.418983459472656,5.324184894561768,9.807243347167969,1.360904335975647,-1.7596408128738403,-0.6325162649154663,0.12198054790496826,-2.890082359313965,1.641576886177063,1.5376427173614502,1.062384009361267,-0.728187620639801,1.02713143825531,5.393813133239746,2.2957029342651367,8.044596672058105,4.680811405181885
