step,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11
0,7.49129581451416,-7.342194557189941,9.364480018615723,-10.948203086853027,-6.007497787475586,-9.474717140197754,13.56764030456543,12.7052583694458,4.352223873138428,5.909565448760986,10.957003593444824,12.85678482055664,0.9196165204048157,-0.7453392744064331,2.7194979190826416,-3.435539722442627,2.092926025390625,0.8700364828109741,7.620798587799072,7.108364582061768,-1.5246940851211548,-1.8166697025299072,-5.694370269775391,-5.087074279785156,2.7821710109710693,-2.713456630706787,3.7609307765960693,-4.871148109436035,-2.1388635635375977,-3.8272969722747803,9.284136772155762,6.9463396072387695,1.4996424913406372,2.0991218090057373,4.878545761108398,7.229854106903076
1,12.949325561523438,-12.76109504699707,7.9835205078125,-9.665482521057129,-14.385091781616211,-7.915152549743652,14.049389839172363,12.863628387451172,2.987872838973999,2.219020128250122,14.693464279174805,19.195398330688477,10.640872955322266,-9.002405166625977,5.277626037597656,-8.064987182617188,-6.0793256759643555,-4.099481105804443,10.483283042907715,9.530662536621094,1.8106212615966797,1.2630314826965332,-3.944230079650879,-2.454669237136841,4.413844585418701,-4.263323783874512,1.7540277242660522,-2.3566510677337646,-4.955147743225098,-1.3358114957809448,8.576406478881836,5.644444942474365,0.34596487879753113,-0.1096840426325798,2.587588310241699,4.279201030731201
2,6.851288795471191,-9.329894065856934,8.330909729003906,-7.09469747543335,-13.419297218322754,-8.939569473266602,13.540216445922852,11.546065330505371,4.292582035064697,2.4978315830230713,13.864655494689941,17.29912757873535,16.184799194335938,-15.492215156555176,9.155657768249512,-12.627728462219238,-12.046177864074707,-9.113082885742188,13.58279037475586,12.166096687316895,4.77387809753418,4.2957763671875,-1.4767986536026,0.23343241214752197,1.8402137756347656,-3.063127040863037,2.3822100162506104,-1.8682482242584229,-5.311216354370117,-2.681442975997925,8.160950660705566,4.271179676055908,1.2298105955123901,0.6208006739616394,2.5635807514190674,3.715834140777588
3,3.373452663421631,-6.198054313659668,6.2812323570251465,-4.101894855499268,-11.085488319396973,-9.053227424621582,11.699665069580078,9.629919052124023,6.612822532653809,4.959320545196533,12.893257141113281,14.85427188873291,18.13265609741211,-19.628969192504883,12.830469131469727,-16.296207427978516,-14.377503395080566,-12.881576538085938,16.57239532470703,14.498385429382324,8.22226333618164,8.026665687561035,1.6215288639068604,3.289238929748535,1.0357836484909058,-2.7616350650787354,1.7370431423187256,-1.0820155143737793,-5.641513347625732,-3.4635775089263916,7.552958011627197,3.7848026752471924,2.4672904014587402,1.8358908891677856,2.728294610977173,3.4738967418670654
4,1.6405644416809082,-3.88588809967041,4.0133585929870605,-2.144041061401367,-10.264410972595215,-8.670166015625,9.717700004577637,8.333416938781738,7.689812660217285,6.19536018371582,11.684738159179688,12.556346893310547,19.424053192138672,-21.891141891479492,15.297379493713379,-18.284624099731445,-16.77643585205078,-15.48336124420166,18.413206100463867,15.754413604736328,15.909123420715332,14.76474666595459,5.307888984680176,6.687174320220947,0.4034757912158966,-2.1610305309295654,1.1505407094955444,-0.6197769641876221,-6.253011226654053,-4.1375226974487305,7.74881649017334,3.9120430946350098,3.876948356628418,2.9281928539276123,2.9801197052001953,3.5532209873199463
5,0.24065624177455902,-2.260101795196533,2.1516244411468506,-1.2392266988754272,-8.970840454101562,-8.060445785522461,8.456183433532715,7.862543106079102,3.4849228858947754,3.6596665382385254,9.827680587768555,10.335790634155273,16.653457641601562,-19.512609481811523,15.19873046875,-18.272188186645508,-16.273578643798828,-15.074715614318848,18.40806770324707,15.956626892089844,15.700095176696777,15.700763702392578,8.556562423706055,9.702847480773926,-0.3245191276073456,-1.3056219816207886,0.5279169678688049,-0.4301570653915405,-6.4634809494018555,-4.543487548828125,7.837515354156494,4.207087993621826,5.474874496459961,3.9764273166656494,3.163423538208008,3.8386664390563965
6,-3.063629388809204,-1.7742724418640137,0.7627012133598328,-0.8679143786430359,-9.434432983398438,-8.414169311523438,8.397587776184082,7.6642374992370605,4.069624900817871,3.4517054557800293,8.142609596252441,8.381636619567871,12.596184730529785,-18.530475616455078,12.466880798339844,-18.12415885925293,-16.54957389831543,-15.465129852294922,18.728628158569336,16.204355239868164,15.700135231018066,15.70143985748291,11.599509239196777,12.927669525146484,-0.7543367147445679,-0.5793683528900146,-0.06981784105300903,-0.3157827854156494,-6.5019097328186035,-4.3108673095703125,7.331538677215576,3.974702835083008,5.882462501525879,4.382529258728027,3.4661872386932373,4.179882049560547
7,-1.593459129333496,-0.7990816831588745,-1.4687103033065796,-0.7622367739677429,-9.198943138122559,-8.081002235412598,8.112090110778809,7.684813976287842,4.239785194396973,3.648850679397583,6.1015305519104,5.95984411239624,9.430695533752441,-17.590803146362305,8.09697151184082,-16.649063110351562,-17.288530349731445,-16.03748321533203,19.580610275268555,16.638639450073242,15.70019245147705,15.702926635742188,14.431901931762695,15.702544212341309,-0.11149069666862488,-0.020411759614944458,-0.5541567206382751,-0.34472233057022095,-6.199694633483887,-4.081574440002441,7.167954921722412,4.245235443115234,5.917420387268066,4.457970142364502,3.4278101921081543,4.339237213134766
8,-1.8166630268096924,1.784549355506897,-3.700045108795166,-0.6467320919036865,-8.579228401184082,-7.40378999710083,7.428342342376709,7.595483779907227,4.36098575592041,3.8130290508270264,4.087918281555176,3.7354016304016113,6.22278356552124,-15.664640426635742,3.083493232727051,-15.146419525146484,-17.8991756439209,-16.1543025970459,20.400901794433594,17.175830841064453,15.700307846069336,15.704163551330566,15.423734664916992,15.7030668258667,-0.3117646872997284,0.6568746566772461,-0.8423334956169128,-0.2271474450826645,-5.901476860046387,-3.6636979579925537,6.878100872039795,4.38804817199707,6.2293219566345215,4.764050483703613,3.422182321548462,4.491369724273682
9,-1.3084636926651,3.892317771911621,-4.189157962799072,-0.3711797595024109,-8.012850761413574,-6.8890533447265625,6.8195366859436035,7.598477363586426,4.439452171325684,3.9361088275909424,3.41768479347229,3.8308002948760986,4.108015060424805,-12.82291316986084,-0.564417839050293,-13.544063568115234,-18.611297607421875,-16.167821884155273,20.781484603881836,17.847415924072266,15.700000762939453,15.700005531311035,15.699997901916504,15.699748992919922,-0.17708095908164978,0.7084850072860718,-0.8882964849472046,-0.05608700215816498,-5.586882591247559,-3.294518232345581,6.869883060455322,4.833549976348877,6.42303466796875,4.988242149353027,3.5175764560699463,4.701043605804443
