step,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11
0,-9.663289070129395,8.360962867736816,3.301804542541504,-3.49277400970459,-10.794145584106445,-12.651609420776367,0.2733938694000244,9.68818187713623,13.485943794250488,12.426351547241211,12.015799522399902,13.630805969238281,0.5786787271499634,1.541201114654541,1.6547120809555054,0.05688504874706268,1.6241823434829712,-1.218906044960022,3.278331756591797,5.235719203948975,-2.7558155059814453,-2.3857953548431396,-3.949861526489258,-5.2439656257629395,-3.943836212158203,3.206545114517212,1.1214079856872559,-1.1889890432357788,-4.744503021240234,-6.852932929992676,0.09114270657300949,3.9595189094543457,8.941690444946289,6.493360996246338,5.941164970397949,9.586313247680664
1,-3.8503119945526123,3.8516428470611572,-7.928356170654297,7.176209449768066,-2.4032208919525146,3.535067319869995,-1.3402537107467651,-1.8373602628707886,19.341079711914062,11.026829719543457,21.72235870361328,23.441253662109375,1.5212923288345337,0.9065730571746826,1.9035885334014893,1.3503010272979736,1.6724729537963867,0.5239894986152649,3.564164161682129,5.076260566711426,-2.7733752727508545,-0.8688988089561462,-3.994729995727539,-4.08495569229126,0.029210425913333893,0.23857639729976654,-3.4587340354919434,3.324455499649048,0.6839455366134644,3.2568178176879883,-0.44061124324798584,-1.912462830543518,5.487968921661377,1.6985257863998413,8.440810203552246,7.8440446853637695
2,-8.860993385314941,5.3916754722595215,-12.322086334228516,8.415704727172852,-3.5306107997894287,2.634530782699585,-1.7651803493499756,4.915894508361816,20.485050201416016,13.240559577941895,23.688077926635742,24.642295837402344,1.431991457939148,1.3329881429672241,2.101621150970459,1.5568854808807373,1.3634421825408936,0.8926025629043579,3.401146411895752,4.5258283615112305,-2.025609254837036,0.13926953077316284,-3.5899946689605713,-3.0131635665893555,-2.5259010791778564,1.347516655921936,-3.3224267959594727,2.109436511993408,-0.8190889954566956,0.442035973072052,-0.3656848669052124,2.3598921298980713,5.086348533630371,3.4113168716430664,6.599026679992676,7.622349262237549
3,-7.041702747344971,5.605739116668701,-13.801156044006348,7.518062591552734,-2.4295523166656494,2.3966264724731445,1.7686760425567627,5.98866081237793,20.81142234802246,14.674511909484863,23.970205307006836,24.508800506591797,1.3981164693832397,1.3613464832305908,2.6464486122131348,1.414740800857544,1.421694278717041,0.361863911151886,3.5134470462799072,4.640085697174072,-1.0575822591781616,1.073925256729126,-3.7992186546325684,-3.488657236099243,-1.1377249956130981,1.2420800924301147,-3.1573948860168457,1.518649697303772,-0.32932621240615845,0.4673296809196472,0.8854292631149292,1.6226056814193726,5.585677623748779,3.967373847961426,6.499999523162842,7.810696601867676
4,-6.589999675750732,5.236700057983398,-14.55920124053955,7.0324907302856445,-2.916943311691284,4.715752124786377,2.9262664318084717,5.684781551361084,20.213058471679688,14.820971488952637,24.620651245117188,25.441125869750977,1.447945237159729,1.2743085622787476,2.4784176349639893,1.3424581289291382,1.3294517993927002,0.18404324352741241,2.781864643096924,4.773660182952881,0.011470019817352295,1.6670845746994019,-1.6382328271865845,-3.194511651992798,-1.2302560806274414,1.0639995336532593,-3.135941982269287,1.4467151165008545,-0.62216717004776,1.2934207916259766,0.8475289940834045,1.335286021232605,5.517358779907227,3.997527599334717,6.714618682861328,7.887131690979004
5,-6.681425094604492,4.622460842132568,-14.155502319335938,6.320096015930176,-3.6328837871551514,5.095733642578125,3.9139108657836914,5.949267387390137,19.09044075012207,14.98198413848877,22.56180191040039,25.32515525817871,1.1558488607406616,1.4124162197113037,1.801984429359436,1.1593005657196045,1.2596218585968018,0.15430611371994019,0.8143060207366943,5.062707901000977,0.43010514974594116,2.3480544090270996,0.24042010307312012,-3.1663904190063477,-1.3188143968582153,0.8880535960197449,-2.892357349395752,1.2497797012329102,-0.7958744168281555,1.0918350219726562,1.0110739469528198,1.5107265710830688,5.296894550323486,4.2134928703308105,6.730649471282959,7.960677623748779
6,-6.6006693840026855,2.420304536819458,-12.992937088012695,6.296919822692871,-3.0762293338775635,6.432118892669678,4.648127555847168,5.936306953430176,18.313825607299805,14.498432159423828,20.809019088745117,25.380233764648438,0.9010759592056274,1.6091866493225098,1.6487623453140259,1.0887389183044434,1.1470615863800049,1.196994662284851,0.9226536154747009,5.0707292556762695,1.2494326829910278,7.419619560241699,1.594611644744873,-2.9734063148498535,-1.3011404275894165,0.20304082334041595,-2.571787118911743,1.3358845710754395,-0.5224683880805969,1.5225961208343506,1.0338172912597656,1.4835203886032104,4.978941440582275,4.085291862487793,6.968402862548828,7.972361087799072
7,-6.842980861663818,1.2326527833938599,-12.447057723999023,5.9751362800598145,-1.0876480340957642,2.492183208465576,5.055107593536377,6.833977222442627,17.081640243530273,10.373291969299316,19.595409393310547,25.25859832763672,0.5201054215431213,0.8761118054389954,1.4018850326538086,0.667576014995575,1.074398159980774,0.4727061986923218,1.5506600141525269,5.5363287925720215,1.8887428045272827,10.030281066894531,1.6092491149902344,-2.560764789581299,-1.4077949523925781,0.09550891816616058,-2.5142440795898438,1.219912052154541,0.04444975033402443,0.0030965209007263184,1.1221868991851807,1.8825476169586182,4.693021297454834,4.089155673980713,7.240511894226074,8.102907180786133
8,-6.882122993469238,1.6569390296936035,-11.815082550048828,6.5115885734558105,0.8213332295417786,0.8330206274986267,4.478315830230713,6.51066780090332,15.904915809631348,8.063834190368652,19.70042610168457,24.8825740814209,0.21215137839317322,0.8264062404632568,0.9766103625297546,0.4650917947292328,1.160987138748169,-0.6896522045135498,2.287902355194092,5.761775016784668,2.1941287517547607,10.549007415771484,1.5658819675445557,-2.475102424621582,-1.410030722618103,0.3961699903011322,-2.372588634490967,1.436277985572815,0.42476052045822144,-0.0639527440071106,0.8889753222465515,1.6254063844680786,4.349308013916016,3.865443229675293,7.323032379150391,8.207115173339844
9,-5.667978286743164,2.420987129211426,-11.601046562194824,6.2346696853637695,0.7540571689605713,-0.6934690475463867,3.7337841987609863,5.546635150909424,14.884559631347656,7.415129661560059,19.666349411010742,24.743896484375,0.20143915712833405,1.2803659439086914,1.1787869930267334,0.1354086995124817,1.1418026685714722,-2.435147285461426,2.5592801570892334,5.957126617431641,2.5622220039367676,9.582051277160645,1.6599234342575073,3.4278011322021484,-0.9883899688720703,0.6055577397346497,-2.4376060962677,1.2517119646072388,0.14792031049728394,-0.350064218044281,0.723089337348938,1.2516026496887207,3.9598169326782227,3.654229164123535,7.0516533851623535,8.020393371582031
