step,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11
0,-9.687667846679688,9.50623607635498,-2.5840654373168945,2.2084264755249023,-8.36397933959961,-7.10225772857666,2.2321994304656982,6.1157050132751465,12.125225067138672,12.17365837097168,8.32873249053955,10.196296691894531,-1.5308719873428345,3.481004476547241,0.6115151643753052,0.4140068292617798,-3.688767433166504,-2.9670138359069824,0.7676289677619934,1.088742733001709,12.814614295959473,12.660001754760742,8.502060890197754,-0.8427691459655762,-3.9591948986053467,3.8465065956115723,-0.8711977005004883,0.7422518730163574,-3.2080962657928467,-2.6050221920013428,0.7503776550292969,2.183110237121582,6.077726364135742,6.140417575836182,3.1900105476379395,4.2967352867126465
1,-6.230734348297119,7.595826625823975,-3.571945905685425,2.088188648223877,2.971508741378784,-1.6022520065307617,5.4077606201171875,6.993119716644287,6.279119491577148,4.335404396057129,7.934078693389893,15.26977825164795,-5.033154010772705,9.075858116149902,0.48710542917251587,1.150527000427246,-1.429010272026062,-2.425597667694092,0.7610468864440918,0.6998825073242188,18.138628005981445,16.215957641601562,5.039242744445801,0.7930793762207031,-0.9076299071311951,1.661465048789978,-0.830949604511261,0.4123683273792267,2.132838726043701,0.3551556468009949,1.6125657558441162,1.6699953079223633,6.635921478271484,2.503713607788086,4.467161178588867,4.573574066162109
2,-1.1346412897109985,3.0166921615600586,-4.226613521575928,4.212252140045166,-8.2885160446167,-9.970531463623047,6.677321434020996,7.583903789520264,1.4523680210113525,1.2782940864562988,12.691987991333008,16.12166404724121,2.6346309185028076,7.8256635665893555,1.941805362701416,1.8084101676940918,-4.388399600982666,-8.011923789978027,0.7653294801712036,0.3395075500011444,1.7313332557678223,19.50973892211914,0.06543290615081787,1.2530207633972168,0.42225831747055054,0.29482030868530273,-0.9316726326942444,1.2031903266906738,-4.005475044250488,-4.253112316131592,1.6029996871948242,1.6899949312210083,3.0968446731567383,0.6575092077255249,5.316469192504883,4.850203037261963
3,-4.029192924499512,3.908109426498413,-6.541867256164551,0.736184298992157,-3.382782459259033,2.8543341159820557,3.2134926319122314,5.057517051696777,16.06117057800293,0.32672613859176636,18.45737075805664,14.070393562316895,0.9106669425964355,-4.1747002601623535,0.760360598564148,1.2071146965026855,1.559816598892212,-7.485921859741211,0.7152289152145386,0.28230446577072144,-0.7664533853530884,6.243563175201416,0.08446180820465088,0.23188096284866333,-1.0714914798736572,1.210602045059204,-1.547495722770691,-0.32338324189186096,-0.15989382565021515,2.3824050426483154,0.18580318987369537,0.6744028925895691,5.41527795791626,3.5732951164245605,5.622961521148682,3.1719443798065186
4,-5.7189507484436035,7.099134922027588,-10.527153968811035,6.712307453155518,0.9073511958122253,7.866846084594727,0.1660148948431015,8.092450141906738,19.973329544067383,10.400080680847168,19.91484260559082,17.922325134277344,0.8760038614273071,1.497081995010376,1.0151745080947876,0.9871597290039062,-0.26345622539520264,-0.13088637590408325,1.3403103351593018,0.7796599268913269,1.9137107133865356,2.0716004371643066,-0.006752867251634598,0.6928927898406982,-1.3960024118423462,1.4152777194976807,-2.9325709342956543,2.419818878173828,0.8563522696495056,1.8960018157958984,-0.38380980491638184,2.1860992908477783,6.1852641105651855,4.453097820281982,6.752758502960205,6.08240270614624
5,-5.7357072830200195,4.490086555480957,-9.689873695373535,7.540968894958496,6.884825229644775,9.12580680847168,1.8784092664718628,7.952005386352539,18.877723693847656,15.968916893005371,21.113178253173828,19.088993072509766,0.9967227578163147,2.2381300926208496,1.3105254173278809,1.4106727838516235,-0.10614597797393799,1.7319384813308716,1.765728235244751,1.3217482566833496,2.6082193851470947,10.971884727478027,0.13944357633590698,0.8540487289428711,-1.1395142078399658,0.7500761151313782,-1.8447800874710083,1.7421596050262451,2.3189241886138916,2.3714218139648438,0.6365054845809937,1.7027231454849243,7.9444403648376465,5.6551513671875,7.778381824493408,6.63516092300415
6,-8.112552642822266,6.220457077026367,-8.296796798706055,7.04509973526001,7.46955680847168,1.3776320219039917,4.623110771179199,6.956701278686523,18.898855209350586,7.016976833343506,21.660198211669922,19.07826042175293,1.0540164709091187,2.2992212772369385,1.4439936876296997,1.3459405899047852,-0.3010135889053345,1.5282437801361084,2.1527044773101807,1.7858376502990723,3.1920650005340576,4.510830402374268,0.24602371454238892,0.8759955167770386,-1.9844576120376587,1.677856206893921,-1.444178581237793,1.4704519510269165,1.6338754892349243,-0.7300752997398376,1.41631281375885,1.3748619556427002,8.54104232788086,3.2041687965393066,8.523066520690918,5.943301677703857
7,-7.010624408721924,4.456483840942383,-10.06210994720459,8.38981819152832,7.533211708068848,6.114584922790527,-0.0800953209400177,7.0169477462768555,18.114627838134766,13.305129051208496,21.716083526611328,19.714311599731445,1.1251801252365112,2.3395814895629883,1.692152976989746,1.6762616634368896,-0.0026458650827407837,2.274902582168579,2.4385340213775635,2.381396532058716,3.5356926918029785,8.77932357788086,0.3170793950557709,0.9071823358535767,-1.238715410232544,0.7178614139556885,-2.31005597114563,2.065403699874878,1.5473493337631226,2.0778844356536865,-0.6845445036888123,1.5725083351135254,7.220200061798096,4.890207767486572,8.188644409179688,6.839230537414551
8,-7.477620601654053,5.47564172744751,-10.065484046936035,6.9457879066467285,8.06283950805664,3.6211612224578857,1.4133771657943726,5.795108795166016,17.815895080566406,8.679556846618652,21.62544822692871,19.403562545776367,1.2363965511322021,4.165903091430664,1.9087340831756592,1.9854646921157837,-0.15974777936935425,2.5278773307800293,2.747434139251709,2.6872262954711914,4.044918060302734,14.324538230895996,0.4678553342819214,1.0899518728256226,-1.553838849067688,1.3735077381134033,-2.0106849670410156,1.3139952421188354,1.7723912000656128,0.4482072591781616,0.5247951745986938,1.1240081787109375,7.550925254821777,3.3121018409729004,7.961052894592285,6.016105651855469
9,-6.566429615020752,4.5544562339782715,-10.66717529296875,7.879478454589844,8.857874870300293,-3.339937925338745,1.3760396242141724,7.683514595031738,16.88478660583496,3.7366654872894287,21.596345901489258,19.1204891204834,1.1601446866989136,1.8103026151657104,1.8453600406646729,1.6350374221801758,-0.22685077786445618,-0.7784305810928345,2.8152663707733154,2.9227454662323,4.6222920417785645,6.104439735412598,0.6893736720085144,1.3444269895553589,-1.1646250486373901,0.9845567941665649,-2.2257611751556396,1.9334038496017456,1.9698631763458252,-1.6094450950622559,0.300095796585083,2.1031494140625,6.600103378295898,2.507422924041748,8.37395191192627,6.0325751304626465
