step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.45826268196105957,-0.7610445618629456,0.10161034762859344,0.999984860420227,-0.002309950068593025,-0.00498581025749445,0.00030915081151761115,0.10180013626813889,-0.07314066588878632,0.1225164532661438,-0.09774354845285416,1.4014495611190796,1.4029576778411865,1.4137681722640991,1.4064157009124756,-2.4403884410858154,-2.5790152549743652,-2.636756420135498,-2.451371908187866
1,0.45680588483810425,-0.7608246803283691,0.10365618765354156,0.9999391436576843,-0.00560152530670166,-0.009504048153758049,0.00015153524873312563,0.1086510643362999,-0.05777398869395256,0.14027619361877441,-0.09749254584312439,1.406347393989563,1.373810052871704,1.39951491355896,1.420518398284912,-2.453449010848999,-2.593942880630493,-2.6520397663116455,-2.4756557941436768
2,0.45507267117500305,-0.760660707950592,0.1059512346982956,0.9998582601547241,-0.00970227550715208,-0.0137574328109622,-0.00036629539681598544,0.11824130266904831,-0.041715238243341446,0.15811355412006378,-0.09455569088459015,1.4088460206985474,1.341732382774353,1.3773481845855713,1.4308881759643555,-2.4649524688720703,-2.6061503887176514,-2.6659111976623535,-2.491478204727173
3,0.45307886600494385,-0.7605288624763489,0.1084652692079544,0.9997419714927673,-0.013721694238483906,-0.018076736479997635,-0.0010008319513872266,0.12789466977119446,-0.027364419773221016,0.17493142187595367,-0.0921483039855957,1.4092260599136353,1.3037760257720947,1.3532898426055908,1.4362380504608154,-2.474836826324463,-2.60819673538208,-2.678046703338623,-2.5103654861450195
4,0.45083075761795044,-0.7604142427444458,0.11124595999717712,0.9995899200439453,-0.017558351159095764,-0.022554388269782066,-0.0017563662258908153,0.1371845006942749,-0.00933155883103609,0.18694669008255005,-0.09070952236652374,1.4070075750350952,1.2619330883026123,1.328017234802246,1.4384151697158813,-2.4826135635375977,-2.6096367835998535,-2.6904208660125732,-2.525834321975708
5,0.4483720064163208,-0.7603272199630737,0.11413110792636871,0.9994156360626221,-0.02067343145608902,-0.027102768421173096,-0.0025366125628352165,0.145189106464386,0.0028877484146505594,0.19961267709732056,-0.09247136861085892,1.4026771783828735,1.2175315618515015,1.296749472618103,1.436838984489441,-2.4898428916931152,-2.6071295738220215,-2.695185899734497,-2.5448238849639893
6,0.4457360804080963,-0.7602479457855225,0.1172226220369339,0.9992089867591858,-0.023623112589120865,-0.031807370483875275,-0.0034264125861227512,0.1528104841709137,0.01613859459757805,0.20981772243976593,-0.09544312208890915,1.3962574005126953,1.172582983970642,1.2571876049041748,1.4302842617034912,-2.4947025775909424,-2.6026673316955566,-2.6842243671417236,-2.5608997344970703
7,0.4429295063018799,-0.7601704001426697,0.12043577432632446,0.9989774227142334,-0.02603599987924099,-0.03671391308307648,-0.004279452376067638,0.15824787318706512,0.024612512439489365,0.21706043183803558,-0.09880269318819046,1.385331153869629,1.1284435987472534,1.2178747653961182,1.4225984811782837,-2.4913837909698486,-2.574995517730713,-2.6737937927246094,-2.576659917831421
8,0.4399471879005432,-0.7600737810134888,0.12371636927127838,0.9987264275550842,-0.028000984340906143,-0.0416601337492466,-0.005089151673018932,0.16238808631896973,0.030829813331365585,0.2206982523202896,-0.10031955689191818,1.373436689376831,1.0874584913253784,1.1804813146591187,1.4129606485366821,-2.4878761768341064,-2.543565034866333,-2.6635427474975586,-2.585581064224243
9,0.43677157163619995,-0.7599819898605347,0.1269507110118866,0.9984701871871948,-0.02912612445652485,-0.046634092926979065,-0.005846752785146236,0.1649789810180664,0.030034255236387253,0.22199177742004395,-0.1030435636639595,1.3614859580993652,1.0502793788909912,1.1479977369308472,1.4050085544586182,-2.4849307537078857,-2.50951886177063,-2.6531379222869873,-2.5964367389678955
