step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,0.4582156240940094,-0.7611470222473145,0.10156355798244476,0.9999868869781494,-0.0015246103284880519,-0.004880362190306187,0.0003218572528567165,0.10105640441179276,-0.09069157391786575,0.10860815644264221,-0.09848032891750336,1.4007171392440796,1.4162079095840454,1.4270505905151367,1.4089995622634888,-2.440168857574463,-2.567141056060791,-2.6416327953338623,-2.4535489082336426
1,0.45730525255203247,-0.7610507011413574,0.10364179313182831,0.9999387860298157,-0.0034312105271965265,-0.010497521609067917,0.000768580415751785,0.1048552542924881,-0.08942385762929916,0.11698365211486816,-0.09828715026378632,1.4098635911941528,1.4248920679092407,1.4438689947128296,1.4373303651809692,-2.4521470069885254,-2.57299542427063,-2.6610636711120605,-2.482614755630493
2,0.4566728174686432,-0.760932207107544,0.1061410903930664,0.9998441934585571,-0.006077033467590809,-0.01652044989168644,0.0012837451649829745,0.1097065806388855,-0.08358348906040192,0.1282593309879303,-0.09639791399240494,1.42142653465271,1.444443702697754,1.4643080234527588,1.4664249420166016,-2.4636545181274414,-2.5774199962615967,-2.682285785675049,-2.5084526538848877
3,0.45631200075149536,-0.760755181312561,0.10911498963832855,0.9996901154518127,-0.009596124291419983,-0.022901633754372597,0.001807689550332725,0.11542972922325134,-0.07398135215044022,0.14127284288406372,-0.0924580916762352,1.4350345134735107,1.4691170454025269,1.4879580736160278,1.4964840412139893,-2.4731554985046387,-2.5787858963012695,-2.703327178955078,-2.531163215637207
4,0.4561910033226013,-0.760517954826355,0.11257855594158173,0.9994628429412842,-0.013872778974473476,-0.02960187755525112,0.002306764479726553,0.12173222750425339,-0.059270329773426056,0.1554088294506073,-0.08743911236524582,1.4489024877548218,1.4996726512908936,1.5123770236968994,1.5271039009094238,-2.479538679122925,-2.577272415161133,-2.7207679748535156,-2.551164150238037
5,0.4563445746898651,-0.7601801753044128,0.11660311371088028,0.9991483092308044,-0.019586065784096718,-0.03621605038642883,0.0027351027820259333,0.12982161343097687,-0.05259144678711891,0.16601283848285675,-0.07959797233343124,1.4624552726745605,1.5000079870224,1.5223608016967773,1.5563544034957886,-2.4831111431121826,-2.5640761852264404,-2.7161338329315186,-2.56726336479187
6,0.45661744475364685,-0.7597132325172424,0.12111487984657288,0.9987140893936157,-0.026370462030172348,-0.04319143295288086,0.003038599155843258,0.1390000283718109,-0.03685857355594635,0.17749641835689545,-0.07045793533325195,1.4763411283493042,1.5000054836273193,1.5333729982376099,1.5847731828689575,-2.4848294258117676,-2.536870241165161,-2.7105154991149902,-2.5801267623901367
7,0.45697566866874695,-0.7591840028762817,0.12601380050182343,0.9981510043144226,-0.03368445113301277,-0.05049460381269455,0.003217069897800684,0.14863960444927216,-0.011662639677524567,0.18965038657188416,-0.06086372956633568,1.4892346858978271,1.5000137090682983,1.5472629070281982,1.6130763292312622,-2.483572244644165,-2.4996819496154785,-2.7054784297943115,-2.590860366821289
8,0.45742106437683105,-0.7586609721183777,0.13115136325359344,0.9974822402000427,-0.04090655967593193,-0.05783375725150108,0.0033149549271911383,0.15937714278697968,0.013470390811562538,0.20165865123271942,-0.05144539847970009,1.500000238418579,1.4999710321426392,1.560562014579773,1.6425780057907104,-2.4804131984710693,-2.4612457752227783,-2.6982433795928955,-2.60196590423584
9,0.45787397027015686,-0.7582372426986694,0.1365451216697693,0.996740460395813,-0.04727046564221382,-0.0652899369597435,0.0033537184353917837,0.1661214679479599,0.03521830216050148,0.21290364861488342,-0.04325517266988754,1.5000003576278687,1.499983549118042,1.5732017755508423,1.6732368469238281,-2.460906505584717,-2.4198224544525146,-2.6895604133605957,-2.6130731105804443
10,0.45841139554977417,-0.7578000426292419,0.14211270213127136,0.9959202408790588,-0.05377526208758354,-0.07238470017910004,0.0033800192177295685,0.17340871691703796,0.053265396505594254,0.22447462379932404,-0.02992064505815506,1.4997384548187256,1.4950768947601318,1.5852406024932861,1.7008192539215088,-2.4271888732910156,-2.3766708374023438,-2.6795780658721924,-2.605560541152954
11,0.4590875804424286,-0.7573289275169373,0.14769989252090454,0.9950698614120483,-0.059788160026073456,-0.07905301451683044,0.0034422227181494236,0.18225307762622833,0.06452599912881851,0.23519885540008545,-0.014636083506047726,1.4994890689849854,1.4849443435668945,1.5962587594985962,1.7223012447357178,-2.387240409851074,-2.3318443298339844,-2.668236255645752,-2.579439878463745
12,0.45982491970062256,-0.7568493485450745,0.15323710441589355,0.9942262172698975,-0.0647602304816246,-0.08548776805400848,0.0035061147063970566,0.1886405050754547,0.0706789493560791,0.2434612512588501,-0.0005082898424006999,1.4993337392807007,1.4692060947418213,1.6075472831726074,1.738304615020752,-2.3518965244293213,-2.2870888710021973,-2.6566362380981445,-2.566601276397705
13,0.46066486835479736,-0.7563696503639221,0.15869903564453125,0.9934480786323547,-0.06860874593257904,-0.0913243517279625,0.003713542828336358,0.19679144024848938,0.06532608717679977,0.24959829449653625,0.008919772692024708,1.493420958518982,1.4450849294662476,1.615451693534851,1.7450982332229614,-2.3139140605926514,-2.239025592803955,-2.6423118114471436,-2.5506951808929443
