step,bpx,bpy,bpz,bqw,bqx,bqy,bqz,q:FL_hip_joint,q:FR_hip_joint,q:RL_hip_joint,q:RR_hip_joint,q:FL_thigh_joint,q:FR_thigh_joint,q:RL_thigh_joint,q:RR_thigh_joint,q:FL_calf_joint,q:FR_calf_joint,q:RL_calf_joint,q:RR_calf_joint
0,7.451030731201172,-15.832845687866211,0.040590800344944,0.9999979734420776,-0.0013884890358895063,-0.0014801681973040104,0.00011917101073777303,0.09267950803041458,-0.08449438214302063,0.10196011513471603,-0.09947752207517624,1.3710379600524902,1.4101848602294922,1.454041838645935,1.4555835723876953,-2.424769401550293,-2.468858003616333,-2.3328304290771484,-2.4964053630828857
1,7.451269626617432,-15.832657814025879,0.04164724051952362,0.9999815225601196,-0.004442042671144009,-0.004140031058341265,0.00029425768298096955,0.06750087440013885,-0.039193153381347656,0.10362378507852554,-0.09392013400793076,1.3638787269592285,1.3980509042739868,1.4558378458023071,1.4603101015090942,-2.334049940109253,-2.387798547744751,-2.2985754013061523,-2.4933793544769287
2,7.451582431793213,-15.832321166992188,0.042642928659915924,0.9999374747276306,-0.009277732111513615,-0.006221771705895662,0.0006157842581160367,0.07307996600866318,0.0011054674396291375,0.11308588087558746,-0.08506862074136734,1.3280036449432373,1.3583098649978638,1.4619500637054443,1.4636783599853516,-2.2921671867370605,-2.2901952266693115,-2.3008337020874023,-2.4894161224365234
3,7.451867580413818,-15.832188606262207,0.04334859922528267,0.9998936653137207,-0.012263059616088867,-0.00786568969488144,0.0006224120152182877,0.07922136783599854,0.010949855670332909,0.11865265667438507,-0.07976134866476059,1.3330390453338623,1.3207863569259644,1.4677588939666748,1.466896414756775,-2.2921903133392334,-2.249406099319458,-2.3018133640289307,-2.4875590801239014
4,7.45225191116333,-15.8322172164917,0.04424246400594711,0.9998407363891602,-0.014795023947954178,-0.009976377710700035,0.00036846412695012987,0.08386647701263428,0.01687786914408207,0.12342235445976257,-0.07500895112752914,1.3334752321243286,1.3251734972000122,1.4745819568634033,1.4708435535430908,-2.284597158432007,-2.243054151535034,-2.302124261856079,-2.4847583770751953
5,7.452892780303955,-15.832215309143066,0.045462943613529205,0.999760091304779,-0.01767922379076481,-0.01292520109564066,0.00033022856223396957,0.08909474313259125,0.0242241770029068,0.12966057658195496,-0.06911665946245193,1.3344998359680176,1.3353040218353271,1.483466386795044,1.4786995649337769,-2.273787260055542,-2.2175028324127197,-2.3017845153808594,-2.482781410217285
6,7.453736305236816,-15.832195281982422,0.04696599394083023,0.9996429085731506,-0.021020030602812767,-0.01649436727166176,0.00029129284666851163,0.09512674063444138,0.03567731752991676,0.1369166374206543,-0.06235285475850105,1.3362436294555664,1.3461737632751465,1.4942824840545654,1.4884401559829712,-2.2607691287994385,-2.195586681365967,-2.300966739654541,-2.4795615673065186
7,7.454807281494141,-15.832148551940918,0.048751067370176315,0.9994848370552063,-0.024617107585072517,-0.020589591935276985,0.00042571648373268545,0.10096146166324615,0.04545285552740097,0.145197793841362,-0.05450986325740814,1.337385892868042,1.360195279121399,1.5063800811767578,1.500581979751587,-2.244762659072876,-2.16563081741333,-2.2995645999908447,-2.4759931564331055
8,7.456087112426758,-15.832066535949707,0.0508187860250473,0.9992755651473999,-0.0285138338804245,-0.025196410715579987,0.000620794075075537,0.10705605149269104,0.060656722635030746,0.1542634814977646,-0.04592200368642807,1.338470458984375,1.3755114078521729,1.5198663473129272,1.5145478248596191,-2.226480484008789,-2.1263132095336914,-2.2972960472106934,-2.471648931503296
9,7.457566738128662,-15.831979751586914,0.0530434288084507,0.999025285243988,-0.032373350113630295,-0.029998810961842537,0.0008314201259054244,0.11316945403814316,0.06938319653272629,0.16352340579032898,-0.03731660544872284,1.3406041860580444,1.376355528831482,1.5339946746826172,1.529632568359375,-2.2077109813690186,-2.0980756282806396,-2.294203758239746,-2.466245651245117
10,7.459251880645752,-15.83189868927002,0.0554085373878479,0.9987462759017944,-0.03575608506798744,-0.035014744848012924,0.0011216357816010714,0.11811034381389618,0.07521636039018631,0.17216797173023224,-0.029292074963450432,1.3419272899627686,1.383744239807129,1.5485857725143433,1.5465455055236816,-2.186556816101074,-2.071159839630127,-2.2900302410125732,-2.4611129760742188
11,7.4611406326293945,-15.83177661895752,0.05800958722829819,0.9984126091003418,-0.03926766663789749,-0.04035203903913498,0.001416842918843031,0.123211570084095,0.0841890424489975,0.18110372126102448,-0.02092108130455017,1.3438961505889893,1.3920060396194458,1.5640416145324707,1.5644679069519043,-2.164165735244751,-2.027355432510376,-2.284919023513794,-2.4547371864318848
12,7.46320104598999,-15.831645011901855,0.060774870216846466,0.9980344176292419,-0.042754415422677994,-0.04578932747244835,0.001660891342908144,0.1282985955476761,0.09409451484680176,0.19000743329524994,-0.012724386528134346,1.3452743291854858,1.3958063125610352,1.5799130201339722,1.582811951637268,-2.1399290561676025,-1.9861730337142944,-2.2789642810821533,-2.4473986625671387
13,7.465445518493652,-15.83151626586914,0.06362666934728622,0.9976360201835632,-0.045793429017066956,-0.0512007437646389,0.001932127634063363,0.1325685828924179,0.09946043789386749,0.1981336772441864,-0.005228204187005758,1.3469229936599731,1.4008034467697144,1.5955597162246704,1.6015928983688354,-2.1151227951049805,-1.9493358135223389,-2.271822929382324,-2.439239025115967
